rank,signal_type,ticker,company,last_price,market_cap_aud_approx,one_day_pct,five_day_pct,twenty_day_pct,volume_spike_vs_20d,trigger,avoid_flags,news_headlines,openai_score,openai_classification,openai_rationale,manual_review_notes,error
1,near_miss,SIG.AX,SIGMA HEALTHCARE LTD,2.66,30706249728.0,-6.34,-8.28,-10.14,1.56,1D <= -4.0%; 5D <= -8.0%,,"Sigma Healthcare FY26 earnings: Record profit as Chemist Warehouse merger delivers growth - The Motley Fool Australia | Why Sigma Healthcare Ltd (ASX:SIG) Stock Is Down Today - Kalkine | ASX 200: Why Are ALK, SIG and MSB on the Penny Stocks Radar? - Kalkine Media | Sigma Healthcare shares are surging. What does Macquarie say they're worth? - The Motley Fool Australia | Sigma Healthcare (ASX:SIG): Looking Beyond Today's Share Price Movement - Kalkine",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
12,near_miss,PME.AX,PRO MEDICUS LTD,182.78,19095021568.0,-0.99,-11.28,13.74,0.76,5D <= -8.0%,,"Pro Medicus Ltd (ASX:PME) Shares Are Moving: What's Driving Investor Interest? - Kalkine | Pro Medicus (ASX:PME) Is Up 10.0% After EPS Jump And Dividend Hike Has The Bull Case Changed? - simplywall.st | Pro Medicus shares rocket on FY26 results and FY27 could be even better - Market Index | Buy, hold, sell: Pro Medicus, Fortescue, CBA shares - The Motley Fool Australia | Avoid these overvalued ASX shares - Morningstar",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
13,near_miss,DRO.AX,DRONESHIELD LTD,1.73,1594056576.0,-0.58,-11.54,-2.54,0.56,5D <= -8.0%,,Droneshield Ltd (ASX:DRO) Tumbles as Defence Tech Investors Take Profits - Kalkine | DroneShield share price in focus as record revenue meets interim loss - The Motley Fool Australia | DroneShield Shares Slide 9.4% Despite 74% Sales Increase as Net Loss Reaches A$32.2 Million - TechStock² | DroneShield Limited (ASX:DRO) Posts Record 1H 2026 Revenue But Swings to $32.2 Million Statutory Loss - Kalkine | Could Elsight (ASX:ELS) or DroneShield (ASX:DRO) Lead Defence Tech? - Kalkine Media,,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
14,near_miss,HSN.AX,HANSEN TECHNOLOGIES LTD,3.48,711750144.0,-0.57,9.76,-16.25,0.35,20D <= -15.0%,,Hansen Technologies (ASX: HSN) Down Over 32% in a Month — Why Is the Stock Falling Despite Higher Profit? - Kalkine | Is Hansen Technologies (ASX:HSN) Using AI Partnerships to Deepen Its Utility Software Moat? - simplywall.st | Is Hansen Technologies' (ASX:HSN) M&A Tilt and Buyback Focus Quietly Redefining Its Investment Story? - Yahoo Finance | Hansen Technologies (ASX:HSN) Trades Ex-Dividend as 5-Cent Final Payout Follows FY26 Earnings Growth - Kalkine | Could Hansen Technologies (ASX:HSN) Be Ready for Its Next Big Move? - Kalkine Media,,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
15,near_miss,MAF.AX,MA FINANCIAL GROUP LTD,6.2,1223086464.0,-0.48,-11.62,12.06,0.6,5D <= -8.0%,,"MA Financial Group Ltd (ASX:MAF): What's Behind the Wealth Manager's Share Price Drop - Kalkine | MA Financial Group (ASX:MAF) Shares Trail EPS Surge As Margins Tighten - simplywall.st | MA Financial's (ASX:MAF) Goes Ex-Dividend on 25 August, Stock on Investor’s Watch - Kalkine | MA Financial delivers record 1H26 earnings and lifts dividend - The Motley Fool Australia | MA Financial (ASX:MAF) $14.8bn AUM, $179bn Finsure record and a $1bn quarter for MA Money - Stocks Down Under",,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
16,near_miss,MAD.AX,MADER GROUP LTD,6.39,1300120448.0,-0.47,-9.75,-8.19,0.68,5D <= -8.0%,,Mader Group (ASX:MAD): Bearish Engulfing and Trendline Breakdown Signal Downside Risk - Kalkine | Record FY26 Profitability and EPS Lift Could Be A Game Changer For Mader Group (ASX:MAD) - simplywall.st | Mader Group Ltd (ASX:MAD) Shares Hit Fresh 52-Week Low: What Investors Should Know - Kalkine | Is Mader Group (ASX:MAD) Strengthening Its Governance Framework? - Kalkine Media | MAD Forecast — Price Target — Prediction for 2027 - TradingView,,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
17,near_miss,MND.AX,MONADELPHOUS GROUP LTD,28.74,,-0.38,-9.57,0.88,0.32,5D <= -8.0%,,Monadelphous Group (ASX:MND) Shares Face A Harder FY27 After Record FY26 Profit - simplywall.st | Monadelphous (ASX:MND) Shares Sink 10% Despite Record Revenue and Profit — What's Driving the Sell-Off? - Kalkine | Monadelphous reports $2.98B full year revenue - grafa.com | What Does Monadelphous (ASX:MND) Signal for Industrial Stocks? - Kalkine Media | Monadelphous Group Ltd (ASX:MND): Understanding Today Decline - Kalkine,,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent. Market cap temporarily unavailable; retained because ticker is in the broad A300 universe.",
18,near_miss,MGH.AX,MAAS GROUP HOLDINGS LTD,5.59,2019853056.0,-0.18,-9.4,13.62,0.54,5D <= -8.0%,,Why MAAS Group Holdings (ASX:MGH) Is Up 12.6% After A$1.7b Asset Sale And Record Earnings - simplywall.st | Maas Group Holdings Ltd (ASX:MGH) Gains Ground: Will Capital Returns Programme Drive Momentum? - Kalkine | A two-pronged AI deal has this ASX 300 company surging higher - The Motley Fool Australia | MAAS Group Holdings (ASX:MGH) Shares Face Debt Scrutiny After Record EBITDA - simplywall.st | Insights: MAAS Group Holdings Limited (ASX:MGH) - smallcaps.com.au,,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
19,near_miss,SUL.AX,SUPER RETAIL GROUP LTD,13.12,2962843648.0,0.85,-9.2,-2.89,0.22,5D <= -8.0%,downgrade,"Super Retail Group (ASX:SUL) Outlook: FY27 Trading Momentum Builds as Project Ignite Continues - Kalkine | Super Retail Group (ASX:SUL) Shares Reflect Revenue Growth And Margin Strain - simplywall.st | Super Retail Group grows sales in FY26, dividend maintained amid growth plans - The Motley Fool Australia | What Could Super Retail Group (ASX:SUL) Change for Value Stocks? - Kalkine Media | Super Retail Group Shares Downgraded on Valuation Concerns - thebull.com.au",,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
20,near_miss,ING.AX,INGHAMS GROUP LTD,2.04,756368064.0,1.75,-8.33,-10.75,0.14,5D <= -8.0%,,"Inghams Group Limited Just Missed EPS By 40%: Here's What Analysts Think Will Happen Next - simplywall.st | Inghams Group (ASX:ING) Drops as FY26 Profit and Feed Costs Pressure Outlook - Kalkine | Could Inghams (ASX:ING), Iress (ASX:IRE) and Region Group (ASX:RGN) Be Drawing Fresh Value Attention? - Kalkine Media | Inghams Group (ASX:ING) Shares Surge Higher Amid Positive Consumer Staples Momentum - Kalkine | How Investors May Respond To Inghams Group (ASX:ING) Earnings Setback And Dividend Cut - Yahoo Finance",,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
21,near_miss,TLX.AX,TELIX PHARMACEUTICALS LTD,15.77,5356699648.0,1.78,-9.29,12.05,0.25,5D <= -8.0%,downgrade,Telix Pharmaceuticals Ltd (ASX:TLX) Shares Jump—Here's What's Driving the Move - Kalkine | Why were Telix shares just downgraded? - The Motley Fool Australia | Telix Pharmaceuticals (ASX:TLX) Shares Cool As Profit Momentum Meets Pipeline Delays - simplywall.st | Telix Pharmaceuticals (ASX:TLX): What's Behind the Growing Attention on 3 Australian Stocks? - Kalkine Media | The ASX’s most shorted stocks before earnings - Morningstar,,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
22,near_miss,NEU.AX,NEUREN PHARMACEUTICALS LTD,20.7,2624221440.0,2.73,-10.54,18.42,0.41,5D <= -8.0%,,"Investors Are Watching Neuren Pharmaceuticals Ltd (ASX:NEU): What's Behind the Share Price Move? - Kalkine | Neuren declares interim dividend following royalty growth - grafa.com | Neuren Pharmaceuticals (ASX:NEU) Secures European Approval for DAYBU, First Rett Syndrome Treatment in the EU - Kalkine | Neuren Pharmaceuticals share price rockets: record Q2 DAYBUE sales and royalty upgrade - The Motley Fool Australia | Growth Investors: Industry Analysts Just Upgraded Their Neuren Pharmaceuticals Limited (ASX:NEU) Revenue Forecasts By 55% - simplywall.st",,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
