ticker,company,observed_on
PME.AX,PRO MEDICUS LTD,2026-09-23
TNE.AX,TECHNOLOGY ONE LTD,2026-09-23
GPT.AX,GPT GROUP,2026-09-23
CHC.AX,CHARTER HALL GROUP,2026-09-23
CAR.AX,CAR GROUP LTD,2026-09-23
NXT.AX,NEXTDC LTD,2026-09-23
GMD.AX,GENESIS MINERALS LTD,2026-09-23
REA.AX,REA GROUP LTD,2026-09-23
JBH.AX,JB HI-FI LTD,2026-09-23
SGH.AX,SGH LTD,2026-09-23
RMS.AX,RAMELIUS RESOURCES LTD,2026-09-23
MGR.AX,MIRVAC GROUP,2026-09-23
DNL.AX,DYNO NOBEL LTD,2026-09-23
AZJ.AX,AURIZON HOLDINGS LTD,2026-09-23
VAU.AX,VAULT MINERALS LTD,2026-09-23
CMM.AX,CAPRICORN METALS LTD,2026-09-23
AMP.AX,AMP LTD,2026-09-23
SDF.AX,STEADFAST GROUP LTD,2026-09-23
WTC.AX,WISETECH GLOBAL LTD,2026-09-23
WHC.AX,WHITEHAVEN COAL LTD,2026-09-23
CWY.AX,CLEANAWAY WASTE MANAGEMENT L,2026-09-23
ANN.AX,ANSELL LTD,2026-09-23
BEN.AX,BENDIGO AND ADELAIDE BANK,2026-09-23
DXS.AX,DEXUS/AU,2026-09-23
CDA.AX,CODAN LTD,2026-09-23
RRL.AX,REGIS RESOURCES LTD,2026-09-23
GGP.AX,GREATLAND RESOURCES LTD,2026-09-23
CGF.AX,CHALLENGER LTD,2026-09-23
WGX.AX,WESTGOLD RESOURCES LTD,2026-09-23
AGL.AX,AGL ENERGY LTD,2026-09-23
HUB.AX,HUB24 LTD,2026-09-23
VNT.AX,VENTIA SERVICES GROUP PTY LT,2026-09-23
IGO.AX,IGO LTD,2026-09-23
A2M.AX,A2 MILK CO LTD,2026-09-23
DOW.AX,DOWNER EDI LTD,2026-09-23
EDV.AX,ENDEAVOUR GROUP LTD/AUSTRALI,2026-09-23
WOR.AX,WORLEY LTD,2026-09-23
MP1.AX,MEGAPORT LTD,2026-09-23
BOQ.AX,BANK OF QUEENSLAND LTD,2026-09-23
TLX.AX,TELIX PHARMACEUTICALS LTD,2026-09-23
PDN.AX,PALADIN ENERGY LTD,2026-09-23
REH.AX,REECE LTD,2026-09-23
SGM.AX,SIMS LTD,2026-09-23
SEK.AX,SEEK LTD,2026-09-23
TWE.AX,TREASURY WINE ESTATES LTD,2026-09-23
EMR.AX,EMERALD RESOURCES NL,2026-09-23
PDI.AX,PREDICTIVE DISCOVERY LTD,2026-09-23
AUB.AX,AUB GROUP LTD,2026-09-23
RWC.AX,RELIANCE WORLDWIDE CORP LTD,2026-09-23
VEA.AX,VIVA ENERGY GROUP LTD,2026-09-23
APE.AX,EAGERS AUTOMOTIVE LTD,2026-09-23
NWH.AX,NRW HOLDINGS LTD,2026-09-23
NHF.AX,NIB HOLDINGS LTD,2026-09-23
MTS.AX,METCASH LTD,2026-09-23
MND.AX,MONADELPHOUS GROUP LTD,2026-09-23
BRG.AX,BREVILLE GROUP LTD,2026-09-23
NHC.AX,NEW HOPE CORP LTD,2026-09-23
CNU.AX,CHORUS LTD,2026-09-23
ZIP.AX,ZIP CO LTD,2026-09-23
RGN.AX,REGION GROUP,2026-09-23
ILU.AX,ILUKA RESOURCES LTD,2026-09-23
DBI.AX,DALRYMPLE BAY INFRASTRUCTURE,2026-09-23
RSG.AX,RESOLUTE MINING LTD,2026-09-23
NEU.AX,NEUREN PHARMACEUTICALS LTD,2026-09-23
NWL.AX,NETWEALTH GROUP LTD,2026-09-23
CLW.AX,CHARTER HALL LONG WALE REIT,2026-09-23
TPG.AX,TPG TELECOM LTD,2026-09-23
BGL.AX,BELLEVUE GOLD LTD,2026-09-23
YAL.AX,YANCOAL AUSTRALIA LTD,2026-09-23
SRG.AX,SRG GLOBAL LTD,2026-09-23
4DX.AX,4DMEDICAL LTD,2026-09-23
EOS.AX,ELECTRO OPTIC SYSTEMS HOLDIN,2026-09-23
HVN.AX,HARVEY NORMAN HOLDINGS LTD,2026-09-23
CQR.AX,CHARTER HALL RETAIL REIT,2026-09-23
LTR.AX,LIONTOWN LTD,2026-09-23
HDN.AX,HOMECO DAILY NEEDS REIT,2026-09-23
PNI.AX,PINNACLE INVESTMENT MANAGEME,2026-09-23
OBM.AX,ORA BANDA MINING LTD,2026-09-23
BWP.AX,BWP PROPERTY GROUP LTD,2026-09-23
ALX.AX,ATLAS ARTERIA,2026-09-23
TAH.AX,TABCORP HOLDINGS LTD,2026-09-23
ALK.AX,ALKANE RESOURCES LTD,2026-09-23
PYC.AX,PYC THERAPEUTICS LTD,2026-09-23
PRN.AX,PERENTI LTD,2026-09-23
CIP.AX,CENTURIA INDUSTRIAL REIT,2026-09-23
PPT.AX,PERPETUAL LTD,2026-09-23
SUL.AX,SUPER RETAIL GROUP LTD,2026-09-23
DDR.AX,DICKER DATA LTD,2026-09-23
DRR.AX,DETERRA ROYALTIES LTD,2026-09-23
MSB.AX,MESOBLAST LTD,2026-09-23
NIC.AX,NICKEL INDUSTRIES LTD,2026-09-23
INA.AX,INGENIA COMMUNITIES GROUP,2026-09-23
ORA.AX,ORORA LTD,2026-09-23
CYL.AX,CATALYST METALS LTD,2026-09-23
LOV.AX,LOVISA HOLDINGS LTD,2026-09-23
FLT.AX,FLIGHT CENTRE TRAVEL GROUP L,2026-09-23
IMD.AX,IMDEX LTD,2026-09-23
WPR.AX,WAYPOINT REIT,2026-09-23
MI6.AX,MINERALS 260 LTD,2026-09-23
BGA.AX,BEGA CHEESE LTD,2026-09-23
EVT.AX,EVT LTD,2026-09-23
DTL.AX,DATA#3 LTD,2026-09-23
SRL.AX,SUNRISE ENERGY METALS LTD,2026-09-23
HLI.AX,HELIA GROUP LTD,2026-09-23
MLX.AX,METALS X LTD,2026-09-23
GNC.AX,GRAINCORP LTD-A,2026-09-23
DRO.AX,DRONESHIELD LTD,2026-09-23
LLC.AX,LENDLEASE GROUP,2026-09-23
EQR.AX,EQ RESOURCES LTD,2026-09-23
SIQ.AX,SMARTGROUP CORP LTD,2026-09-23
ASB.AX,AUSTAL LTD,2026-09-23
BPT.AX,BEACH ENERGY LTD,2026-09-23
WEB.AX,WEB TRAVEL GROUP LTD,2026-09-23
SLC.AX,SUPERLOOP LTD,2026-09-23
ARB.AX,ARB CORP LTD,2026-09-23
KCN.AX,KINGSGATE CONSOLIDATED LTD,2026-09-23
FFM.AX,FIREFLY METALS LTD,2026-09-23
ELD.AX,ELDERS LTD,2026-09-23
KAR.AX,KAROON ENERGY LTD,2026-09-23
SSM.AX,SERVICE STREAM LTD,2026-09-23
GYG.AX,GUZMAN Y GOMEZ LTD,2026-09-23
CIA.AX,CHAMPION IRON LTD,2026-09-23
DYL.AX,DEEP YELLOW LTD,2026-09-23
MFG.AX,MAGELLAN FINANCIAL GROUP LTD,2026-09-23
DVP.AX,DEVELOP GLOBAL LTD,2026-09-23
NUF.AX,NUFARM LTD,2026-09-23
GDG.AX,GENERATION DEVELOPMENT GROUP,2026-09-23
IRE.AX,IRESS LTD,2026-09-23
MAH.AX,MACMAHON HOLDINGS LTD,2026-09-23
SXE.AX,SOUTHERN CROSS ELECTRICAL,2026-09-23
CBO.AX,COBRAM ESTATE OLIVES LTD,2026-09-23
TEA.AX,TASMEA LTD,2026-09-23
MGH.AX,MAAS GROUP HOLDINGS LTD,2026-09-23
PMV.AX,PREMIER INVESTMENTS LTD,2026-09-23
DMP.AX,DOMINO'S PIZZA ENTERPRISES L,2026-09-23
NCK.AX,NICK SCALI LTD,2026-09-23
BVS.AX,BRAVURA SOLUTIONS LTD,2026-09-23
ELV.AX,ELEVRA LITHIUM LTD,2026-09-23
PNR.AX,PANTORO GOLD LTD,2026-09-23
REG.AX,REGIS HEALTHCARE LTD,2026-09-23
CNI.AX,CENTURIA CAPITAL GROUP,2026-09-23
MMS.AX,MCMILLAN SHAKESPEARE LTD,2026-09-23
ABB.AX,AUSSIE BROADBAND LTD,2026-09-23
JDO.AX,JUDO CAPITAL HOLDINGS LTD,2026-09-23
SBM.AX,ST BARBARA LTD,2026-09-23
SLX.AX,SILEX SYSTEMS LTD,2026-09-23
DGT.AX,DIGICO INFRASTRUCTURE REIT,2026-09-23
ELS.AX,ELSIGHT LTD,2026-09-23
CXO.AX,CORE LITHIUM LTD,2026-09-23
PXA.AX,PEXA GROUP LTD,2026-09-23
SMR.AX,STANMORE RESOURCES LTD,2026-09-23
IDX.AX,INTEGRAL DIAGNOSTICS LTD,2026-09-23
IPX.AX,IPERIONX LTD,2026-09-23
CAT.AX,CATAPULT SPORTS LTD,2026-09-23
A4N.AX,ALPHA HPA LTD,2026-09-23
LIN.AX,LINDIAN RESOURCES LTD,2026-09-23
VUL.AX,VULCAN ENERGY RESOURCES LTD,2026-09-23
CQE.AX,CHARTER HALL SOCIAL INFRASTR,2026-09-23
MYS.AX,MYSTATE LTD,2026-09-23
L1G.AX,L1 GROUP LTD,2026-09-23
RFF.AX,RURAL FUNDS TRUST,2026-09-23
DXI.AX,DEXUS INDUSTRIA REIT,2026-09-23
ING.AX,INGHAMS GROUP LTD,2026-09-23
PWH.AX,PWR HOLDINGS LTD,2026-09-23
APZ.AX,ASPEN GROUP,2026-09-23
CKF.AX,COLLINS FOODS LTD,2026-09-23
NAN.AX,NANOSONICS LTD,2026-09-23
KLS.AX,KELSIAN GROUP LTD,2026-09-23
SNL.AX,SUPPLY NETWORK LTD,2026-09-23
SDR.AX,SITEMINDER LTD,2026-09-23
IPH.AX,IPH LTD,2026-09-23
OML.AX,OOH!MEDIA LTD,2026-09-23
WBT.AX,WEEBIT NANO LTD,2026-09-23
BMN.AX,BANNERMAN ENERGY LTD,2026-09-23
ARU.AX,ARAFURA RARE EARTHS LTD,2026-09-23
GNP.AX,GENUSPLUS GROUP LTD,2026-09-23
CU6.AX,CLARITY PHARMACEUTICALS LTD,2026-09-23
TUA.AX,TUAS LTD,2026-09-23
CCP.AX,CREDIT CORP GROUP LTD,2026-09-23
GLF.AX,GEMLIFE COMMUNITIES GROUP,2026-09-23
AOV.AX,AMOTIV LTD,2026-09-23
BOE.AX,BOSS ENERGY LTD,2026-09-23
FPR.AX,FLEETPARTNERS GROUP LTD,2026-09-23
RIC.AX,RIDLEY CORP LTD,2026-09-23
NEC.AX,NINE ENTERTAINMENT CO HOLDIN,2026-09-23
ARF.AX,ARENA REIT,2026-09-23
CCL.AX,CUSCAL LTD,2026-09-23
HMC.AX,HMC CAPITAL LTD,2026-09-23
MAQ.AX,MACQUARIE TECHNOLOGY GROUP L,2026-09-23
VSL.AX,VULCAN STEEL LTD,2026-09-23
COF.AX,CENTURIA OFFICE REIT,2026-09-23
GOZ.AX,GROWTHPOINT PROPERTIES AUSTR,2026-09-23
IPG.AX,IPD GROUP LTD,2026-09-23
MAF.AX,MA FINANCIAL GROUP LTD,2026-09-23
CWP.AX,CEDAR WOODS PROPERTIES LTD,2026-09-23
HSN.AX,HANSEN TECHNOLOGIES LTD,2026-09-23
ACL.AX,AUSTRALIAN CLINICAL LABS LTD,2026-09-23
NXL.AX,NUIX LTD,2026-09-23
GWA.AX,GWA GROUP LTD,2026-09-23
VGN.AX,VIRGIN AUSTRALIA HOLDINGS LT,2026-09-23
BRE.AX,BRAZILIAN RARE EARTHS LTD,2026-09-23
RPL.AX,REGAL PARTNERS LTD,2026-09-23
TPW.AX,TEMPLE & WEBSTER GROUP LTD,2026-09-23
RDX.AX,REDOX LTD/AUSTRALIA,2026-09-23
SKS.AX,SKS TECHNOLOGIES GROUP LTD,2026-09-23
NGI.AX,NAVIGATOR GLOBAL INVESTMENTS,2026-09-23
WGN.AX,WAGNERS HOLDING CO LTD,2026-09-23
BC8.AX,BLACK CAT SYNDICATE LTD,2026-09-23
SKG.AX,STORAGE KING GROUP,2026-09-23
IEL.AX,IDP EDUCATION LTD,2026-09-23
AEL.AX,AMPLITUDE ENERGY LTD,2026-09-23
GNG.AX,GR ENGINEERING SERVICES LTD,2026-09-23
BCI.AX,BCI MINERALS LTD,2026-09-23
CMW.AX,CROMWELL PROPERTY GROUP,2026-09-23
CHN.AX,CHALICE MINING LTD,2026-09-23
LIC.AX,LIFESTYLE COMMUNITIES LTD,2026-09-23
EQT.AX,EQT HOLDINGS LTD,2026-09-23
WA1.AX,WA1 RESOURCES LTD,2026-09-23
PNV.AX,POLYNOVO LTD,2026-09-23
LYL.AX,LYCOPODIUM LTD,2026-09-23
SHV.AX,SELECT HARVESTS LTD,2026-09-23
CVL.AX,CIVMEC LTD,2026-09-23
C79.AX,CHRYSOS CORP LTD,2026-09-23
AEF.AX,AUSTRALIAN ETHICAL INVT LTD,2026-09-23
OCL.AX,OBJECTIVE CORPORATION LTD,2026-09-23
JIN.AX,JUMBO INTERACTIVE LTD,2026-09-23
BLX.AX,BEACON LIGHTING GROUP LTD,2026-09-23
CUV.AX,CLINUVEL PHARMACEUTICALS LTD,2026-09-23
EHL.AX,EMECO HOLDINGS LTD,2026-09-23
ABG.AX,ABACUS GROUP,2026-09-23
MYR.AX,MYER HOLDINGS LTD,2026-09-23
AX1.AX,ACCENT GROUP LTD,2026-09-23
PPM.AX,PEPPER MONEY LTD/AU,2026-09-23
GTK.AX,GENTRACK GROUP LTD,2026-09-23
AFG.AX,AUSTRALIAN FINANCE GROUP LTD,2026-09-23
FML.AX,FOCUS MINERALS LTD,2026-09-23
JMS.AX,JUPITER MINES LTD,2026-09-23
MAD.AX,MADER GROUP LTD,2026-09-23
EIQ.AX,ECHOIQ LTD,2026-09-23
MGX.AX,MGX RESOURCES LTD,2026-09-23
AAC.AX,AUSTRALIAN AGRICULTURAL CO,2026-09-23
TVN.AX,TIVAN LTD,2026-09-23
INR.AX,IONEER LTD,2026-09-23
TYR.AX,TYRO PAYMENTS LTD,2026-09-23
HCW.AX,HEALTHCO REIT,2026-09-23
QAL.AX,QUALITAS LTD,2026-09-23
PFP.AX,PROPEL FUNERAL PARTNERS LTD,2026-09-23
