rank,signal_type,ticker,company,last_price,market_cap_aud_approx,one_day_pct,five_day_pct,twenty_day_pct,volume_spike_vs_20d,trigger,avoid_flags,news_headlines,openai_score,openai_classification,openai_rationale,manual_review_notes,error
11,near_miss,LOV.AX,LOVISA HOLDINGS LTD,25.0,2768474880.0,-5.12,7.3,1.01,0.09,1D <= -4.0%,,"Lovisa Holdings Ltd (ASX: LOV) Share Price, LOV Stock News, LOV Share Price & Updates - Kalkine | LOV Forecast — Price Target — Prediction for 2027 - TradingView | Investors Interested In Lovisa Holdings Limited's (ASX:LOV) Earnings - simplywall.st | Lovisa shares are getting hammered on a profit miss, but is the stock still a buy? - The Motley Fool Australia | Lovisa Holdings Ltd (ASX:LOV) Stock: Market Dynamics & Long-Term Value Assessment - Kalkine",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
12,near_miss,HVN.AX,HARVEY NORMAN HOLDINGS LTD,4.2,5226998272.0,-5.09,-7.8,-14.74,0.42,1D <= -4.0%,,Harvey Norman (ASX:HVN) Shares Signal Value While Margins Keep Tightening - simplywall.st | Harvey Norman lifts profit and dividend in FY26 earnings result - The Motley Fool Australia | Why Could Harvey Norman (ASX:HVN) Matter for Retail Stocks? - Kalkine Media | Harvey Norman Holdings (ASX:HVN) Shares Fall as Retail Trends Remain in Focus - Kalkine | Harvey Norman Files Corporate Governance Statement and Appendix 4G with ASX - The Globe and Mail,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
13,near_miss,BC8.AX,BLACK CAT SYNDICATE LTD,1.08,783597632.0,-4.87,-6.52,18.13,0.18,1D <= -4.0%,,Black Cat Syndicate posts $374M full year revenue - grafa.com | Why Black Cat Syndicate Ltd (ASX:BC8) Advanced on 17 August 2026 - Kalkine | This ASX 300 gold stock is leaping 9% today on major growth news - The Motley Fool Australia | Why Black Cat Syndicate (ASX:BC8) Is Down 12.8% After Swinging Back To Half-Year Profitability - simplywall.st | Insights: Black Cat Syndicate Limited (ASX:BC8) - smallcaps.com.au,,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
14,near_miss,CYL.AX,CATALYST METALS LTD,6.51,1716485376.0,-4.82,-3.98,13.02,0.1,1D <= -4.0%,,"Catalyst Metals (ASX: CYL): Catalyst Metals Drops 2% - Is the Gold Stock Rally Running Out of Steam or Just Pausing? - Kalkine | Brokers tip these 3 ASX shares to climb another 50% to 66% - The Motley Fool Australia | Catalyst Metals (ASX:CYL) Hits Its Best Gold Output Since 2013 As Value Questions Linger - simplywall.st | Catalyst Metals (ASX:CYL) Shares Rise 7% Today, Liquidity Expands to A$531 Million - Kalkine | Is Catalyst Metals' (ASX:CYL) Gold Hedging Shift Quietly Redefining Its Risk‑Reward Profile? - simplywall.st",,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
15,near_miss,EVN.AX,EVOLUTION MINING LTD,14.94,30543435776.0,-4.66,-5.02,30.37,0.1,1D <= -4.0%,downgrade,"Evolution Mining (ASX:EVN) Stock Surges 9% on Copper Expansion Deal - Kalkine | Evolution Mining acquires 13.7% stake in Carnaby Resources - grafa.com | Why Evolution Mining, Whitehaven and Santos shares are creating a buzz on Wednesday - The Motley Fool Australia | How The Investment Story For Evolution Mining (ASX:EVN) Is Shifting With New Analyst Targets - Yahoo Finance | Australia’s largest gold miner downgraded on a falling gold price - Morningstar Australia",,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
16,near_miss,A2M.AX,A2 MILK CO LTD,6.54,4761485312.0,-4.66,-1.95,-4.66,0.08,1D <= -4.0%,,"Executive team at A2 Milk sells shares - grafa.com | ASX share’s growth story intact despite supply constraints - Morningstar Australia | The a2 Milk Company (ASX:A2M) Share Price Update for Investors - Kalkine | Can A2 Milk (ASX:A2M) Rebuild Momentum After China Setbacks? - Kalkine Media | Why Lendlease, A2 Milk and JB Hi Fi shares are turning heads on Monday - The Motley Fool Australia",,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
17,near_miss,NST.AX,NORTHERN STAR RESOURCES LTD,23.63,33668143104.0,-4.64,-3.12,18.68,0.07,1D <= -4.0%,,"Northern Star shares slide 5% as investors digest another surprise - The Motley Fool Australia | What Northern Star Resources (ASX:NST)'s Strong FY26 Profit, Dividend and Production Guidance Means For Shareholders - simplywall.st | What Is Driving Northern Star (ASX:NST) in Gold Stocks? - Kalkine Media | Closing Bell: ASX dips on earnings season damage as Northern Star hits back at Elliott - stockhead.com.au | Northern Star Resources (ASX:NST) Stock: KCGM Mill Expansion Milestone - Kalkine",,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
18,near_miss,NGI.AX,NAVIGATOR GLOBAL INVESTMENTS,2.4,1467526656.0,-4.56,0.21,0.63,0.01,1D <= -4.0%,,"Is Navigator’s Mixed FY26 Results And FY27 M&A Plan Altering The Investment Case For Navigator Global Investments (ASX:NGI)? - simplywall.st | Healius, Monash IVF and Navigator Global Investments Shares Slide on ASX Today - Kalkine | Navigator Global Investments (ASX:NGI) Share Price Trails AUM Growth As Profitability Shrinks - simplywall.st | ASX Value Opportunities Navigator Global Investments And 2 Stocks Estimated Below Intrinsic Value - Yahoo Finance | NGI Forecast — Price Target — Prediction for 2027 - TradingView",,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
19,near_miss,NXL.AX,NUIX LTD,2.0,685364864.0,-4.55,4.18,53.46,0.06,1D <= -4.0%,,Nuix (ASX:NXL) Shares Tick Up: What the Market Is Monitoring Around the Software Company - Kalkine | Should You Think About Buying Nuix Limited (ASX:NXL) Now? - simplywall.st | Guess which ASX tech stock is rocketing 22% on big news - The Motley Fool Australia | Could Nuix (ASX:NXL) Gain Fresh Momentum in Growth Stocks? - Kalkine Media | Insights: Nuix Ltd (ASX:NXL) - smallcaps.com.au,,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
20,near_miss,MP1.AX,MEGAPORT LTD,16.11,3906980864.0,-4.45,-7.73,-10.2,0.1,1D <= -4.0%,,"Megaport Limited Allocates 520,501 Restricted Stock Units Under Employee Incentive Plan - Kalkine Media | Why Is Megaport (ASX:MP1) Share Price Under Pressure? - Kalkine | AI driving growth for ASX tech share - Morningstar Australia | Megaport Limited (ASX:MP1) Just Reported Annual Earnings And Analysts Are Lifting Their Estimates - simplywall.st | Up 155% since April, is it too late to buy Megaport shares today? - The Motley Fool Australia",,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
21,near_miss,WGX.AX,WESTGOLD RESOURCES LTD,6.36,6009144320.0,-4.43,-0.39,34.0,0.07,1D <= -4.0%,,Westgold Resources Limited Just Missed Earnings - But Analysts Have Updated Their Models - simplywall.st | Westgold Resources (ASX:WGX) Stock Rises 8% Amid Gold Sector Rally - Kalkine | Westgold Resources posts $2.44B FY26 revenue on gold - grafa.com | Is Westgold Resources (ASX:WGX) Stock Positioned for Further Gold Sector Gains? - Kalkine | Can Westgold Resources (ASX:WGX) Sustain Its Latest ASX Share Price Gains? - Kalkine,,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
22,near_miss,TAH.AX,TABCORP HOLDINGS LTD,0.87,1983137408.0,-4.42,-2.84,-2.3,0.09,1D <= -4.0%,,"Tabcorp Holdings Ltd (ASX: TAH) Share Price, TAH Stock News, TAH Share Price & Updates - Kalkine | How Did Tabcorp Holdings (ASX:TAH) Shift the Consumer Stocks View? - Kalkine Media | Stock of the day: Tabcorp Holdings - ig.com | Tabcorp shares crash 25% as watchdog probe hits - The Motley Fool Australia | TAH Forecast — Price Target — Prediction for 2027 - TradingView",,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
23,near_miss,MMS.AX,MCMILLAN SHAKESPEARE LTD,19.95,1389378432.0,-4.41,-1.82,1.63,0.19,1D <= -4.0%,,"McMillan Shakespeare (ASX:MMS) Shares Fall Ahead of FY26 Full-Year Results - Kalkine | McMillan Shakespeare Shares Continue To Rise Despite Overbought Signal - thebull.com.au | Is this ASX industrials stock a buy, hold or sell after soaring 6% yesterday? - The Motley Fool Australia | Should You Be Adding McMillan Shakespeare (ASX:MMS) To Your Watchlist Today? - Yahoo Finance | MMS Forecast — Price Target — Prediction for 2027 - TradingView",,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
24,near_miss,AEF.AX,AUSTRALIAN ETHICAL INVT LTD,4.49,510527936.0,-4.37,0.34,2.16,0.05,1D <= -4.0%,,Australian Ethical Investment (ASX:AEF) Delivers Record FY26 FUM and Profit: Is Earnings Momentum Building Beneath the Surface? - Kalkine | Top ASX Dividend Stocks To Consider In August 2026 - simplywall.st | Top ASX Dividend Stocks To Consider In August 2026 - webull.com | Australian Ethical Investment Leads These 3 ASX Penny Stocks To Consider - Yahoo Finance | 1 ASX dividend stock down 41% I'd buy right now - The Motley Fool Australia,,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
25,near_miss,ILU.AX,ILUKA RESOURCES LTD,6.72,2899786496.0,-4.2,-7.74,8.58,0.06,1D <= -4.0%,,"Iluka Resources (ASX:ILU): Is This ASX Mineral Sands Stock Ready for Comeback? - Kalkine | Growth Investors: Industry Analysts Just Upgraded Their Iluka Resources Limited (ASX:ILU) Revenue Forecasts By 15% - simplywall.st | Why is everyone talking about IGO, Iluka Resources and Web Travel shares on Tuesday? - The Motley Fool Australia | Stocks making the biggest moves at noon: Appen, Iluka Resources, Ora Banda Mining and more - Market Index | Iluka Resources Shares The ASX 200 Laggard on Big News Day: The Details - thebull.com.au",,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
26,near_miss,HMC.AX,HMC CAPITAL LTD,3.2,1320370432.0,-4.19,9.59,7.38,0.08,1D <= -4.0%,,3 ASX Stocks Estimated To Be Trading At Discounts Up To 47% Below Intrinsic Value - simplywall.st | HMC Capital (ASX:HMC) Shares Climb: What's Behind the Asset Manager's Steady Gain? - Kalkine | AIC Mines (ASX:A1M): 3 Penny Stocks to Watch in August - Kalkine Media | HMC Capital lodges 2026 corporate governance statement with ASX - The Globe and Mail | Insights: HMC Capital Limited (ASX:HMC) - smallcaps.com.au,,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
27,near_miss,LYC.AX,LYNAS RARE EARTHS LTD,15.59,15686342656.0,-4.15,-5.03,11.0,0.09,1D <= -4.0%,,Surging Full-Year Earnings Could Be A Game Changer For Lynas Rare Earths (ASX:LYC) - simplywall.st | Lynas Rare Earths posts record FY26 profit and revenue as growth ramps up - The Motley Fool Australia | Lynas Rare Earths Ltd (ASX:LYC): A Stock on the Move — What Investors Should Know - Kalkine | Why Is Lynas (ASX:LYC) Shaping Rare Earth Minerals? - Kalkine Media | Lynas Rare Earths Shares Fall Back: A Closer Look - thebull.com.au,,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
28,near_miss,CHN.AX,CHALICE MINING LTD,1.31,511112896.0,-4.03,-9.66,14.41,0.11,1D <= -4.0%; 5D <= -8.0%,,Chalice Mining (ASX: CHN) Remains a Key Critical Minerals Watchlist Stock Despite Sell-Off - Kalkine | ASX Penny Stocks To Watch In June 2026 - simplywall.st | CHN Forecast — Price Target — Prediction for 2027 - TradingView | This ASX mining stock is up 120% in a year. Can the rally continue? - The Motley Fool Australia | Chalice Mining (ASX:CHN): Critical Minerals ASX Stock Worth Watching - Kalkine,,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
29,near_miss,REA.AX,REA GROUP LTD,169.26,22149330944.0,-4.0,-2.88,6.83,0.12,1D <= -4.0%,,REA Group (ASX:REA): Digital Property Platform Strength Remains in Focus Amid Valuation Debate - Kalkine | Are REH shares or REA shares better value in 2026? - Rask Media | ASX real estate platform outperforms yet questions remain - Morningstar Australia | Is Softer Earnings and A$1.73 Dividend Altering The Investment Case For REA Group (ASX:REA)? - simplywall.st | REA shares fall 43% to a three-year low. Is it time to buy? - The Motley Fool Australia,,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
30,near_miss,LIC.AX,LIFESTYLE COMMUNITIES LTD,5.06,616004672.0,-3.98,-11.07,-2.32,0.05,5D <= -8.0%,,"Lifestyle Communities (ASX:LIC) Shares Slide 8% Today – Here’s Why - Kalkine | Lifestyle Communities (ASX:LIC) Shares Face Margin Questions After Debt Reset - simplywall.st | Lifestyle Communities waiting for market upturn to grow, CEO says - AFR | This beaten-down ASX stock just exploded 16%. Here’s why - The Motley Fool Australia | Bullish Lifestyle Communities Insiders Loaded Up On AU$20.5m Of Stock - Yahoo Finance",,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
31,near_miss,PME.AX,PRO MEDICUS LTD,174.46,18225831936.0,-3.87,-9.81,5.93,0.09,5D <= -8.0%,,Pro Medicus (ASX:PME) Grows Revenue 22.9% to $261.7 Million With $548 Million in New Contracts Secured - Kalkine | Why Is Pro Medicus (ASX:PME) Shaping Growth Stocks? - Kalkine Media | Pro Medicus shares rocket on FY26 results and FY27 could be even better - Market Index | Are Pro Medicus shares now too cheap to ignore? - The Motley Fool Australia | Avoid this overvalued ASX healthcare share - Morningstar Australia,,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
32,near_miss,WA1.AX,WA1 RESOURCES LTD,10.95,814070912.0,-3.86,-8.75,-1.62,0.12,5D <= -8.0%,,WA1 Resources (ASX:WA1) Upgrades Luni Niobium Resource: Could the Commodity Cycle Turn This Explorer Into a September Stock to Watch? - Kalkine | Breakeven On The Horizon For WA1 Resources Ltd (ASX:WA1) - simplywall.st | We Might See A Profit From WA1 Resources Ltd (ASX:WA1) Soon - Yahoo Finance | WA1 shares wobble as new high-grade Luni results hit the market - The Motley Fool Australia | WA1 Forecast — Price Target — Prediction for 2027 - TradingView,,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
33,near_miss,GLF.AX,GEMLIFE COMMUNITIES GROUP,4.52,1718903808.0,-3.83,-8.5,1.12,0.04,5D <= -8.0%,,GemLife (ASX:GLF) Shares Can Upgraded Guidance Justify A Premium P/E? - simplywall.st | GemLife Communities Group (ASX:GLF) Gains Ground While Investors Monitor Property Market Trends - Kalkine | GemLife Communities (ASX:GLF): This $2bn company could be the best way to play the Baby Boomer trade! - Stocks Down Under | GemLife Communities Group (ASX:GLF) Enters Positive Territory as Investors Assess Community Housing Opportunities - Kalkine | GLF Forecast — Price Target — Prediction for 2027 - TradingView,,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
34,near_miss,WES.AX,WESFARMERS LTD,76.77,87155671040.0,-3.78,-6.78,-15.32,0.11,20D <= -15.0%,,Can Retail Stocks Shift Around Wesfarmers (ASX:WES)? - Kalkine Media | What Is Wesfarmers Limited's (ASX:WES) Share Price Doing? - Yahoo Finance | What Makes Wesfarmers (ASX:WES) One of the ASX's Closely Watched Stocks? - Kalkine | Is Driving Wesfarmers (ASX:WES) in Bluechip Stocks? - Kalkine Media | Why Wesfarmers Limited (ASX:WES) Could Be Worth Watching - simplywall.st,,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
35,near_miss,OBM.AX,ORA BANDA MINING LTD,1.53,2962889728.0,-3.65,-8.54,31.5,0.04,5D <= -8.0%,,"3 Australian Penny Stocks Backed By Real Revenue And Balance Sheet Strength - simplywall.st | Ora Banda Mining Ltd (ASX:OBM) Share Price | RNS News, Quotes, & Charts | OBM.AX | - Proactive financial news | What Is Driving Ora Banda (ASX:OBM) in Penny Stocks? - Kalkine Media | Ora Banda Mining Ltd (ASX:OBM) Delivers Record FY26 Revenue of $807.5M and NPAT Up 16% - Kalkine | Ora Banda Mining (ASX:OBM) Shares Confront Record Growth And Thinner Margins - webull.com",,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
36,near_miss,FLT.AX,FLIGHT CENTRE TRAVEL GROUP L,11.58,2371425792.0,-3.34,-8.53,-13.13,0.26,5D <= -8.0%,downgrade,Flight Centre shares are sinking 7% after its FY26 results. Here's why - The Motley Fool Australia | Can Flight Centre (ASX:FLT) Reset the Consumer Stocks Story? - Kalkine Media | Why it’s not all bad news for Flight Centre following downgrade - Morningstar Australia | Is Flight Centre Travel Group (ASX:FLT) Positioned for a Turnaround as Travel Trends Evolve? - Kalkine | Flight Centre Travel Group delivers record year despite Q4 challenges - The Motley Fool Australia,,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
37,near_miss,MGH.AX,MAAS GROUP HOLDINGS LTD,5.27,1904226432.0,-3.3,-8.82,6.25,0.05,5D <= -8.0%,,"Maas Group Holdings Ltd (ASX:MGH) Gains Ground: Will Capital Returns Programme Drive Momentum? - Kalkine | MAAS Group Holdings (ASX:MGH) Shares Face Debt Scrutiny After Record EBITDA - simplywall.st | Maas Group Holdings Executes Buy-Back of 394,643 Shares on August 28, 2026 - Kalkine Media | A two-pronged AI deal has this ASX 300 company surging higher - The Motley Fool Australia | MGH Forecast — Price Target — Prediction for 2027 - TradingView",,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
