ticker,company,observed_on
HMC.AX,HMC CAPITAL LTD,2026-09-16
MAQ.AX,MACQUARIE TECHNOLOGY GROUP L,2026-09-16
SHV.AX,SELECT HARVESTS LTD,2026-09-16
BAP.AX,BAPCOR LTD,2026-09-16
VSL.AX,VULCAN STEEL LTD,2026-09-16
COF.AX,CENTURIA OFFICE REIT,2026-09-16
OBL.AX,OMNI BRIDGEWAY LTD,2026-09-16
GOZ.AX,GROWTHPOINT PROPERTIES AUSTR,2026-09-16
IPG.AX,IPD GROUP LTD,2026-09-16
MAF.AX,MA FINANCIAL GROUP LTD,2026-09-16
CWP.AX,CEDAR WOODS PROPERTIES LTD,2026-09-16
A4N.AX,ALPHA HPA LTD,2026-09-16
HSN.AX,HANSEN TECHNOLOGIES LTD,2026-09-16
ACL.AX,AUSTRALIAN CLINICAL LABS LTD,2026-09-16
NXL.AX,NUIX LTD,2026-09-16
GWA.AX,GWA GROUP LTD,2026-09-16
VGN.AX,VIRGIN AUSTRALIA HOLDINGS LT,2026-09-16
BRE.AX,BRAZILIAN RARE EARTHS LTD,2026-09-16
RPL.AX,REGAL PARTNERS LTD,2026-09-16
TPW.AX,TEMPLE & WEBSTER GROUP LTD,2026-09-16
RDX.AX,REDOX LTD/AUSTRALIA,2026-09-16
NGI.AX,NAVIGATOR GLOBAL INVESTMENTS,2026-09-16
BC8.AX,BLACK CAT SYNDICATE LTD,2026-09-16
SKG.AX,STORAGE KING GROUP,2026-09-16
IEL.AX,IDP EDUCATION LTD,2026-09-16
AEL.AX,AMPLITUDE ENERGY LTD,2026-09-16
BCI.AX,BCI MINERALS LTD,2026-09-16
CMW.AX,CROMWELL PROPERTY GROUP,2026-09-16
CHN.AX,CHALICE MINING LTD,2026-09-16
LIC.AX,LIFESTYLE COMMUNITIES LTD,2026-09-16
TUA.AX,TUAS LTD,2026-09-16
EQT.AX,EQT HOLDINGS LTD,2026-09-16
WA1.AX,WA1 RESOURCES LTD,2026-09-16
PNV.AX,POLYNOVO LTD,2026-09-16
LYL.AX,LYCOPODIUM LTD,2026-09-16
C79.AX,CHRYSOS CORP LTD,2026-09-16
OCL.AX,OBJECTIVE CORPORATION LTD,2026-09-16
JIN.AX,JUMBO INTERACTIVE LTD,2026-09-16
BLX.AX,BEACON LIGHTING GROUP LTD,2026-09-16
HLS.AX,HEALIUS LTD,2026-09-16
CUV.AX,CLINUVEL PHARMACEUTICALS LTD,2026-09-16
EHL.AX,EMECO HOLDINGS LTD,2026-09-16
ABG.AX,ABACUS GROUP,2026-09-16
MYR.AX,MYER HOLDINGS LTD,2026-09-16
AX1.AX,ACCENT GROUP LTD,2026-09-16
PPM.AX,PEPPER MONEY LTD/AU,2026-09-16
GTK.AX,GENTRACK GROUP LTD,2026-09-16
AFG.AX,AUSTRALIAN FINANCE GROUP LTD,2026-09-16
FML.AX,FOCUS MINERALS LTD,2026-09-16
JMS.AX,JUPITER MINES LTD,2026-09-16
ADH.AX,ADAIRS LTD,2026-09-16
MAD.AX,MADER GROUP LTD,2026-09-16
MGX.AX,MGX RESOURCES LTD,2026-09-16
AAC.AX,AUSTRALIAN AGRICULTURAL CO,2026-09-16
AEF.AX,AUSTRALIAN ETHICAL INVT LTD,2026-09-16
TVN.AX,TIVAN LTD,2026-09-16
INR.AX,IONEER LTD,2026-09-16
DTR.AX,DATELINE RESOURCES LTD,2026-09-16
TYR.AX,TYRO PAYMENTS LTD,2026-09-16
HCW.AX,HEALTHCO REIT,2026-09-16
QAL.AX,QUALITAS LTD,2026-09-16
PFP.AX,PROPEL FUNERAL PARTNERS LTD,2026-09-16
