rank,signal_type,ticker,company,last_price,market_cap_aud_approx,one_day_pct,five_day_pct,twenty_day_pct,volume_spike_vs_20d,trigger,avoid_flags,news_headlines,openai_score,openai_classification,openai_rationale,manual_review_notes,error
11,candidate,WBT.AX,WEEBIT NANO LTD,3.44,827071616,-0.58,-11.57,-23.04,0.68,20D <= -20.0%,,Could this ASX tech company really rise 180%? - The Motley Fool Australia | Kalkine ASX Analysis: Weebit Nano Ltd (ASX:WBT) Falls on Strong Volume—What's Behind the Move? - Kalkine | Stock of the day: Weebit Nano - ig.com | Weebit Nano (ASX:WBT) Climbs — What's Driving Momentum in This Chip Stock? - Kalkine | Stock of the day: Weebit Nano - ig.com,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
12,candidate,HSN.AX,HANSEN TECHNOLOGIES LTD,3.35,685161728,-0.3,-2.9,-23.2,0.6,20D <= -20.0%,,"Hansen Technologies (ASX:HSN): Is the Market Setting Up for the Next Digital-Growth Re-Rating? - Kalkine | How Investors Are Reacting To Hansen Technologies (ASX:HSN) FY26 Results And M&A-Focused Capital Plan - simplywall.st | Hansen Technologies (ASX:HSN): Is the ASX Tech Stock Now a Bargain? - Kalkine Media | Hansen Technologies (ASX:HSN) Trades Ex-Dividend as 5-Cent Final Payout Follows FY26 Earnings Growth - Kalkine | Buy, hold, sell: Superloop, Hansen Technologies, Select Harvests shares - The Motley Fool Australia",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
13,candidate,SDR.AX,SITEMINDER LTD,2.83,801130112,0.35,-7.82,-24.53,1.2,20D <= -20.0%,,SiteMinder (ASX:SDR) Share Price Falls — What's Weighing on the Stock? - Kalkine | SiteMinder (ASX:SDR) Share Price News - The Motley Fool Australia | SiteMinder (ASX:SDR): Why This Could Be a September Tech Stock to Watch as AI and Software Demand Accelerate - Kalkine | SiteMinder (ASX:SDR) Shares Could Be 18.3% Below Fair Value After Trading Rally - simplywall.st | Hidden value in an expensive ASX - Morningstar Australia,,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
14,candidate,PNI.AX,PINNACLE INVESTMENT MANAGEME,14.36,3460544512,0.56,-16.6,-24.05,1.78,5D <= -12.0%; 20D <= -20.0%,,"Pinnacle Investment Management (ASX:PNI) Is on the Move: What's Behind Today's Share Price Action? - Kalkine | Pinnacle Investment Management (ASX:PNI): Multi-Affiliate Model Remains Central to Growth Strategy - Kalkine | ASX Value Picks Including Pinnacle Investment Management Group And 2 Other Stocks For Estimated Growth - simplywall.st | Pinnacle Investment Management profit dips as revenue climbs, dividend steady - The Motley Fool Australia | How Index Exit and Margin Strain Will Impact Pinnacle Investment Management Group (ASX:PNI) Investors - simplywall.st",,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
15,candidate,ELS.AX,ELSIGHT LTD,4.76,1058559616,1.06,-20.0,-32.29,1.51,5D <= -12.0%; 20D <= -20.0%,,"Elsight Limited (ASX:ELS) Up 175% Over the Year — Should You Watch This Connectivity Stock? - Kalkine | 3 ASX Stocks to Watch After Gaining Over 150% in a Year: FML, BNZ and ELS - Kalkine | Buy, hold, sell: Beach Energy, Elsight, South32 shares - The Motley Fool Australia | Is Strengthening Drone‑Defence Demand Altering The Investment Case For Elsight (ASX:ELS)? - simplywall.st | Elsight Ltd (ASX: ELS): Potential Head & Shoulders Pattern Signals Further Downside Risk - Kalkine",,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
16,candidate,ARF.AX,ARENA REIT,2.28,927128448,1.33,-2.56,-29.41,0.53,20D <= -20.0%,,"Could the Next Rate Move Reshape the Investment Case for Arena REIT (ASX:ARF)? - Kalkine | Why Is Arena REIT (ASX:ARF) in Focus? - Kalkine Media | Arena REIT (ASX:ARF) Shares Face Edge Fallout Despite Rising NAV - simplywall.st | After falling 33% over two days, a huge 77% rebound for this ASX real estate stock is tipped - The Motley Fool Australia | Arena REIT (ASX:ARF) Exploring Its Role in the Australian Listed REIT Market - Kalkine",,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
17,candidate,4DX.AX,4DMEDICAL LTD,3.44,2063770624,1.47,-5.49,-25.86,0.67,20D <= -20.0%,,4DMEDICAL (ASX:4DX) Gains 4% as CT:VQ Expansion Keeps Stock in Focus - Kalkine | Why 4DMedical shares could still rise 65% - The Motley Fool Australia | 4DMEDICAL Ltd (ASX: 4DX) Share Price Falls 5.10% as Stock Trades Within Its Daily Range - Kalkine | Can 4DMedical (ASX:4DX) Keep Its Strong Momentum Going? - Kalkine Media | Why this expert is betting against 4DMedical and DroneShield shares - The Motley Fool Australia,,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
18,candidate,TPW.AX,TEMPLE & WEBSTER GROUP LTD,4.82,561755264,1.47,4.33,-22.26,0.36,20D <= -20.0%,,"Why Temple & Webster (ASX:TPW) Shares Are Under Pressure Today? - Kalkine | Temple & Webster (ASX:TPW) Shares Reset As Margins Thin And Earnings Slip - simplywall.st | Why Temple & Webster, Web Travel and Guzman Y Gomez shares could have even further to fall - The Motley Fool Australia | Temple & Webster (ASX:TPW) FY26 Results: Record Revenue Meets a Sharper FY27 Trading Challenge - Kalkine | Co-Founder of Temple & Webster Group Mark Coulter Buys 445% More Shares - simplywall.st",,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
19,candidate,IRE.AX,IRESS LTD,5.52,1031077888,1.66,-5.64,-23.1,0.56,20D <= -20.0%,,"IRESS’ (ASX:IRE) Cash EBITDA Surges 47%: Why This Could Be a September Tech Stock to Watch - Kalkine | Why Could Iress (ASX:IRE) Enter the Technology Stocks Spotlight? - Kalkine Media | Income Investors Should Know That Iress Limited (ASX:IRE) Goes Ex-Dividend Soon - simplywall.st | Iress (ASX:IRE) Falls as Financial Technology Stocks Come Under Broader Market Pressure - Kalkine | Buy, hold, or sell? Life360, Iress, Lynas Rare Earths shares - The Motley Fool Australia",,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
20,candidate,NAN.AX,NANOSONICS LTD,2.75,822004928,2.23,3.0,-22.1,2.46,20D <= -20.0%,,Nanosonics Ltd (ASX:NAN) Shares Hit Fresh 52-Week Low: What Investors Should Know - Kalkine | ASX Penny Stocks: Kogan.com And Two Other Promising Picks - simplywall.st | Here's Why Nanosonics Ltd (ASX:NAN) Is Back on the Healthcare Investor Radar - Kalkine | Can Nanosonics (ASX:NAN) Repair Device Sentiment? - Kalkine Media | Nanosonics (ASX:NAN) Slips Marginally — What Investors Should Know About the Infection Prevention Medtech - Kalkine,,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
21,candidate,GDG.AX,GENERATION DEVELOPMENT GROUP,3.13,1255741056,2.61,-3.38,-23.97,2.55,20D <= -20.0%,,"Generation Development Group (ASX:GDG) Tomorrow’s Ex-Dividend Stocks: What to Know - Kalkine | Generation Development Group (ASX:GDG) Rebounds—Can Platform Growth Repair Sentiment? - Kalkine | Generation Development Group FY26 earnings: Record inflows and FUM growth - The Motley Fool Australia | Dividend Watch: Whitefield Industrials (ASX:WHF), Kina Securities (ASX:KSL) and Generation Development Group (ASX:GDG) Go Ex-Dividend Tomorrow - Kalkine | Generation Development Group Shares Lag The ASX 200 Today – The Latest - thebull.com.au",,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
22,candidate,SLX.AX,SILEX SYSTEMS LTD,4.95,1379934592,3.12,-15.53,2.7,1.57,5D <= -12.0%,,"Silex Systems (ASX:SLX): Nuclear Technology Commercialisation Path Remains in Focus - Kalkine | Is Silex Systems (ASX:SLX) Turning Revenue Momentum Into a More Durable Path to Profitability? - simplywall.st | ASX 200 uranium stock lifts off on $143 million US laser news - The Motley Fool Australia | AU Evening Wrap | ASX 200 ends flat as CSL new CEO hits healthcare, tech and uranium names cushion losses - Moomoo | How Did Silex Systems (ASX:SLX) Shift the Smallcap Stocks View? - Kalkine Media",,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
