rank,signal_type,ticker,company,last_price,market_cap_aud_approx,one_day_pct,five_day_pct,twenty_day_pct,volume_spike_vs_20d,trigger,avoid_flags,news_headlines,openai_score,openai_classification,openai_rationale,manual_review_notes,error
1,near_miss,ZIP.AX,ZIP CO LTD,2.52,3139723008,-6.67,-8.03,-10.0,1.38,1D <= -4.0%; 5D <= -8.0%,,Xero vs Zip shares: Which ASX 200 tech stock has made investors richer over the past month? - The Motley Fool Australia | Zip Co (ASX:ZIP) Slides Sharply as Technology Shares Fall Out of Favour - Kalkine | ZIP Co Ltd Share Price and Fundamentals (ZIP) - thebull.com.au | Zip shares are getting crushed: What’s gone wrong? - The Motley Fool Australia | Zip Co (ASX:ZIP) Gains Momentum as Investors Revisit Fintech Stocks - Kalkine,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
12,near_miss,GPT.AX,GPT GROUP,4.8,9194772480,-4.0,-8.4,-3.42,2.41,5D <= -8.0%,,"GPT Group (ASX:GPT) Shares Cheap Or Clouded By Office Risk - simplywall.st | GPT Group (ASX:GPT) Result Lays Bare a Two-Speed Office Recovery, with Melbourne Still the Laggard - Kalkine | GPT Group (ASX:GPT) Moves Lower Despite Higher H1 Funds From Operations - Kalkine | Why Is GPT Group (ASX:GPT) Changing the Property Story? - kalkinemedia.com | Australia’s oldest REIT undervalued - Morningstar Australia",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
13,near_miss,EHL.AX,EMECO HOLDINGS LTD,0.98,508007264,-3.92,-10.09,-0.51,6.26,5D <= -8.0%,,"Emeco Holdings (ASX:EHL) Climbs Amid Continued Interest in Mining Equipment Providers - Kalkine | 3 ASX Penny Stocks With Market Caps Under A$3B To Consider - simplywall.st | What Could Emeco (ASX:EHL) Tell Us About Smallcap? - kalkinemedia.com | Why Air New Zealand, Emeco, ResMed, and Westgold shares are tumbling today - The Motley Fool Australia | Insights: Emeco Holdings Ltd (ASX:EHL) - smallcaps.com.au",,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
14,near_miss,ABG.AX,ABACUS GROUP,0.83,741735872,-2.92,-10.75,-10.27,3.01,5D <= -8.0%,,Abacus Group (ASX:ABG) Dividend Watch: Can a 9.34% Yield Reflect Long-Term Income Potential? - Kalkine | Abacus Group (ASX:ABG) Share Price Update Amid Real Estate Sector Pressure - Kalkine | This ASX property stock is rising after takeover speculation heats up - The Motley Fool Australia | Abacus Group (ASX:ABG) Shares Sees Modest Fair Value Cut After Sector Valuation Rework - Yahoo Finance | ABG Forecast — Price Target — Prediction for 2027 - TradingView,,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
15,near_miss,SEK.AX,SEEK LTD,14.69,5258581504,-2.65,-8.59,4.26,0.75,5D <= -8.0%,,"SEEK (ASX:SEK) Share Movement Highlights Investor Focus on Online Employment Marketplace - Kalkine | Why CBA, Seek, and AGL shares are turning heads on Wednesday - The Motley Fool Australia | ASX growth share with attractive dividend - Morningstar Australia | SEEK (ASX:SEK) Rebounds After Sharp Post-Result Slide - kalkinemedia.com | Seek Shares (SEK) Hit Decade Low as Pressures Mount: The Latest - thebull.com.au",,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
16,near_miss,LLC.AX,LENDLEASE GROUP,2.8,1934495360,-2.44,-9.97,-4.11,3.48,5D <= -8.0%,,Lendlease (ASX:LLC) Shares Face Deeper Losses As Balance Sheet Strain Persists - simplywall.st | Lendlease (ASX:LLC) Sinks to $749m Loss - Kalkine | Lendlease FY26 earnings: Top-end IDC result but statutory loss hits share price - The Motley Fool Australia | Lendlease Group (ASX:LLC) Shares Retreat as Investors Assess Property Outlook - Kalkine | Can Lendlease (ASX:LLC) Make Its Leaner Property Strategy Pay Off? - kalkinemedia.com,,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
17,near_miss,SRL.AX,SUNRISE ENERGY METALS LTD,17.0,2880657408,-1.9,-10.53,10.25,0.8,5D <= -8.0%,,"Sunrise Energy Metals (ASX:SRL) Looks Pricey As US$400 Million DoD Loan Backing Lifts Attention - simplywall.st | Sunrise Energy Metals secures US$400m U.S. loan and plans U.S. listing - The Motley Fool Australia | Sunrise Energy Metals (ASX:SRL) Slides as Critical-Minerals Stocks Come Under Pressure - Kalkine | Up 3400%, What is Going On With Sunrise Energy Metals Shares? - thebull.com.au | Resources Top 5: SRL jumps on US loan for scandium play, AUZ benefits from nearology - Stockhead",,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
18,near_miss,TPW.AX,TEMPLE & WEBSTER GROUP LTD,5.05,588561024,-1.75,-11.09,1.0,0.85,5D <= -8.0%,,Temple & Webster Group Ltd (ASX:TPW) Share Price Falls as Investors Track Profitability and Growth Balance - Kalkine | Temple & Webster Group Ltd (ASX: TPW) - The Motley Fool Australia | JPMorgan Chase & Co. Acquires 5.45% Stake in Temple & Webster Group as Substantial Holder - kalkinemedia.com | Co-Founder of Temple & Webster Group Mark Coulter Buys 445% More Shares - simplywall.st | Temple & Webster Group Ltd (ASX:TPW): Market Assessment For Sector-Focused Investors - Kalkine,,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
19,near_miss,SKG.AX,STORAGE KING GROUP,1.15,1511218432,-1.29,-11.2,-12.21,3.4,5D <= -8.0%,,Storage King Group (ASX:SKG) Begins New REIT Chapter After Internalisation and Rebrand - Kalkine | Storage King (ASX:SKG) internalises for A$7m in yearly savings - Stocks Down Under | Storage King Group (ASX: SKG) - The Motley Fool Australia | Storage King Group (ASX:SKG) in Spotlight as Property Investors Track Alternative Real Estate Assets - Kalkine | Storage King Group (ASX:SKG): Why Is Self-Storage Growth in Focus? - kalkinemedia.com,,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
20,near_miss,LOV.AX,LOVISA HOLDINGS LTD,23.89,2645542656,-1.2,-8.75,7.86,0.59,5D <= -8.0%,,"Lovisa Holdings Ltd (ASX:LOV) Stock: Market Dynamics & Long-Term Value Assessment - Kalkine | Lovisa Holdings Ltd. Revenue Breakdown – ASX:LOV - TradingView | 3 ASX Stocks That May Be Undervalued By Up To 49.7% - simplywall.st | Lovisa shares are getting hammered on a profit miss, but is the stock still a buy? - The Motley Fool Australia | Lovisa Holdings Ltd (ASX:LOV) Momentum Builds on Sector Strength - Kalkine",,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
21,near_miss,CU6.AX,CLARITY PHARMACEUTICALS LTD,2.57,958818688,-0.77,-10.14,15.25,0.65,5D <= -8.0%,,3 ASX Growth Stocks With High Insider Ownership And Up To 34% Earnings Growth - simplywall.st | Clarity Pharmaceuticals (ASX:CU6) Plunges as Clinical-Stage Biotech Sell-Off Continues - Kalkine | Clarity Pharmaceuticals (CU6 ASX: CU6) Rises 9% as Traders Rotate Into Biotech Stocks - Kalkine | Clarity Pharmaceuticals Ltd's (ASX:CU6) market cap dropped AU$145m last week; individual investors who hold 48% were hit as were institutions - simplywall.st | Clarity Pharmaceuticals (ASX:CU6): Biotech Stock Falls as Investors Watch Trial Progress - Kalkine,,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
22,near_miss,HDN.AX,HOMECO DAILY NEEDS REIT,1.16,2423587072,0.87,-10.08,-7.94,2.09,5D <= -8.0%,,HomeCo Daily Needs REIT (ASX:HDN) Shares Trail NTA As Interest Costs Rise - simplywall.st | HomeCo Daily Needs REIT (ASX:HDN) Maintains Distribution as Property Portfolio Supports FY27 Outlook - Kalkine | Positive Report for HomeCo Daily Needs REIT (HDN) from Ord Minnett - The Globe and Mail | Why Does HomeCo Daily Needs REIT (ASX:HDN) Shape Discipline? - kalkinemedia.com | HomeCo Daily Needs REIT (ASX:HDN) Share Price and Business Update - Kalkine,,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
23,near_miss,SUL.AX,SUPER RETAIL GROUP LTD,12.52,2827347712,1.13,-9.73,-4.65,1.87,5D <= -8.0%,,Super Retail Group (ASX:SUL) Drops as Market Focus Turns to FY26 Numbers - Kalkine | What Awaits Super Retail Group (ASX:SUL) as Results Loom? - kalkinemedia.com | Is It Too Late To Consider Buying Super Retail Group Limited (ASX:SUL)? - simplywall.st | Super Retail Group (ASX: SUL) Approaches FY26 Results as Sales Growth and Margins Remain Key Focus Areas - Kalkine | ASX retail share expected to recover despite choppy conditions - Morningstar Australia,,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
