ticker,company,observed_on
CQE.AX,CHARTER HALL SOCIAL INFRASTR,2026-09-18
TEA.AX,TASMEA LTD,2026-09-18
L1G.AX,L1 GROUP LTD,2026-09-18
RFF.AX,RURAL FUNDS TRUST,2026-09-18
DXI.AX,DEXUS INDUSTRIA REIT,2026-09-18
ING.AX,INGHAMS GROUP LTD,2026-09-18
PWH.AX,PWR HOLDINGS LTD,2026-09-18
CKF.AX,COLLINS FOODS LTD,2026-09-18
SXE.AX,SOUTHERN CROSS ELECTRICAL,2026-09-18
NAN.AX,NANOSONICS LTD,2026-09-18
KLS.AX,KELSIAN GROUP LTD,2026-09-18
SNL.AX,SUPPLY NETWORK LTD,2026-09-18
SDR.AX,SITEMINDER LTD,2026-09-18
IPH.AX,IPH LTD,2026-09-18
OML.AX,OOH!MEDIA LTD,2026-09-18
WBT.AX,WEEBIT NANO LTD,2026-09-18
BMN.AX,BANNERMAN ENERGY LTD,2026-09-18
ELS.AX,ELSIGHT LTD,2026-09-18
PXA.AX,PEXA GROUP LTD,2026-09-18
REG.AX,REGIS HEALTHCARE LTD,2026-09-18
SGLLV.AX,RICEGROWERS LIMITED,2026-09-18
GNP.AX,GENUSPLUS GROUP LTD,2026-09-18
TUA.AX,TUAS LTD,2026-09-18
CCP.AX,CREDIT CORP GROUP LTD,2026-09-18
GLF.AX,GEMLIFE COMMUNITIES GROUP,2026-09-18
AOV.AX,AMOTIV LTD,2026-09-18
BOE.AX,BOSS ENERGY LTD,2026-09-18
FPR.AX,FLEETPARTNERS GROUP LTD,2026-09-18
RIC.AX,RIDLEY CORP LTD,2026-09-18
ARF.AX,ARENA REIT,2026-09-18
HMC.AX,HMC CAPITAL LTD,2026-09-18
MAQ.AX,MACQUARIE TECHNOLOGY GROUP L,2026-09-18
SHV.AX,SELECT HARVESTS LTD,2026-09-18
BAP.AX,BAPCOR LTD,2026-09-18
VSL.AX,VULCAN STEEL LTD,2026-09-18
COF.AX,CENTURIA OFFICE REIT,2026-09-18
OBL.AX,OMNI BRIDGEWAY LTD,2026-09-18
GOZ.AX,GROWTHPOINT PROPERTIES AUSTR,2026-09-18
IPG.AX,IPD GROUP LTD,2026-09-18
MAF.AX,MA FINANCIAL GROUP LTD,2026-09-18
CWP.AX,CEDAR WOODS PROPERTIES LTD,2026-09-18
A4N.AX,ALPHA HPA LTD,2026-09-18
ACL.AX,AUSTRALIAN CLINICAL LABS LTD,2026-09-18
NXL.AX,NUIX LTD,2026-09-18
GWA.AX,GWA GROUP LTD,2026-09-18
VGN.AX,VIRGIN AUSTRALIA HOLDINGS LT,2026-09-18
BRE.AX,BRAZILIAN RARE EARTHS LTD,2026-09-18
RPL.AX,REGAL PARTNERS LTD,2026-09-18
TPW.AX,TEMPLE & WEBSTER GROUP LTD,2026-09-18
RDX.AX,REDOX LTD/AUSTRALIA,2026-09-18
ARU.AX,ARAFURA RARE EARTHS LTD,2026-09-18
NGI.AX,NAVIGATOR GLOBAL INVESTMENTS,2026-09-18
BC8.AX,BLACK CAT SYNDICATE LTD,2026-09-18
SKG.AX,STORAGE KING GROUP,2026-09-18
IEL.AX,IDP EDUCATION LTD,2026-09-18
AEL.AX,AMPLITUDE ENERGY LTD,2026-09-18
BCI.AX,BCI MINERALS LTD,2026-09-18
CMW.AX,CROMWELL PROPERTY GROUP,2026-09-18
CHN.AX,CHALICE MINING LTD,2026-09-18
CU6.AX,CLARITY PHARMACEUTICALS LTD,2026-09-18
LIC.AX,LIFESTYLE COMMUNITIES LTD,2026-09-18
EQT.AX,EQT HOLDINGS LTD,2026-09-18
WA1.AX,WA1 RESOURCES LTD,2026-09-18
PNV.AX,POLYNOVO LTD,2026-09-18
LYL.AX,LYCOPODIUM LTD,2026-09-18
C79.AX,CHRYSOS CORP LTD,2026-09-18
AEF.AX,AUSTRALIAN ETHICAL INVT LTD,2026-09-18
OCL.AX,OBJECTIVE CORPORATION LTD,2026-09-18
JIN.AX,JUMBO INTERACTIVE LTD,2026-09-18
BLX.AX,BEACON LIGHTING GROUP LTD,2026-09-18
HLS.AX,HEALIUS LTD,2026-09-18
CUV.AX,CLINUVEL PHARMACEUTICALS LTD,2026-09-18
EHL.AX,EMECO HOLDINGS LTD,2026-09-18
ABG.AX,ABACUS GROUP,2026-09-18
MYR.AX,MYER HOLDINGS LTD,2026-09-18
AX1.AX,ACCENT GROUP LTD,2026-09-18
PPM.AX,PEPPER MONEY LTD/AU,2026-09-18
GTK.AX,GENTRACK GROUP LTD,2026-09-18
AFG.AX,AUSTRALIAN FINANCE GROUP LTD,2026-09-18
FML.AX,FOCUS MINERALS LTD,2026-09-18
JMS.AX,JUPITER MINES LTD,2026-09-18
ADH.AX,ADAIRS LTD,2026-09-18
MAD.AX,MADER GROUP LTD,2026-09-18
MGX.AX,MGX RESOURCES LTD,2026-09-18
AAC.AX,AUSTRALIAN AGRICULTURAL CO,2026-09-18
TVN.AX,TIVAN LTD,2026-09-18
INR.AX,IONEER LTD,2026-09-18
DTR.AX,DATELINE RESOURCES LTD,2026-09-18
TYR.AX,TYRO PAYMENTS LTD,2026-09-18
HCW.AX,HEALTHCO REIT,2026-09-18
QAL.AX,QUALITAS LTD,2026-09-18
PFP.AX,PROPEL FUNERAL PARTNERS LTD,2026-09-18
