rank,signal_type,ticker,company,last_price,market_cap_aud_approx,one_day_pct,five_day_pct,twenty_day_pct,volume_spike_vs_20d,trigger,avoid_flags,news_headlines,openai_score,openai_classification,openai_rationale,manual_review_notes,error
11,near_miss,CMM.AX,CAPRICORN METALS LTD,15.89,7259981312,-4.96,-10.63,11.98,2.3,1D <= -4.0%; 5D <= -8.0%,,Capricorn Metals (ASX:CMM) Is Up 11.5% After EPS Jumps On Strong FY26 Results Has The Bull Case Changed? - webull.com | Capricorn Metals (ASX:CMM) Stock Rallies on Record Gold Reserve Upgrade - Kalkine | Guess which ASX 200 gold stock is leaping 15% on Monday on big growth news - The Motley Fool Australia | Why Is Capricorn Metals (ASX:CMM) Back in the Spotlight? - Kalkine Media | Capricorn Metals Ltd (ASX:CMM): What's Behind the Uptick? - Kalkine,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
12,near_miss,REG.AX,REGIS HEALTHCARE LTD,5.89,1780909184,-4.85,-3.6,-7.39,1.97,1D <= -4.0%,,"Andrew Kinkade Spends AU$246k On Regis Healthcare Stock - simplywall.st | Why Regis Healthcare Ltd (ASX:REG) Stock Slid to a 52-Week Low - Kalkine | Earnings Beat, Higher Dividend And New CFO Might Change The Case For Investing In Regis (ASX:REG) - webull.com | REG Forecast — Price Target — Prediction for 2027 - TradingView | Could Regis Healthcare (ASX:REG) Draw Fresh Healthcare Stock Attention? - Kalkine Media",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
13,near_miss,NST.AX,NORTHERN STAR RESOURCES LTD,22.58,32172099584,-4.69,-6.31,5.07,0.87,1D <= -4.0%,,"Can Northern Star (ASX:NST) Stay on the Gold Stocks Radar? - Kalkine Media | Northern Star Resources (ASX:NST) Posts Full Year Earnings And Guidance, Is It Getting Pricey? - simplywall.st | Closing Bell: ASX dips on earnings season damage as Northern Star hits back at Elliott - Stockhead | Northern Star Resources (ASX:NST) Stock: KCGM Mill Expansion Milestone - Kalkine | Why are Northern Star Resources shares higher today? - The Motley Fool Australia",,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
14,near_miss,FML.AX,FOCUS MINERALS LTD,1.95,557356608,-4.66,-11.19,5.14,1.24,1D <= -4.0%; 5D <= -8.0%,,"Focus Minerals (ASX:FML) Shares Jump Again as the Coolgardie Gold Rebuild Draws a Second Look - Kalkine | Subdued Growth No Barrier To Focus Minerals Limited (ASX:FML) With Shares Advancing 40% - simplywall.st | Why Focus Minerals (ASX: FML) Stock Is Falling Today: Key Factors Behind the Decline - Kalkine | Which ASX Penny Stocks Are Standing Out for Financial Strength? - Kalkine Media | Why AUB, Domino's, DroneShield, and Focus Minerals shares are storming higher - The Motley Fool Australia",,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
15,near_miss,NIC.AX,NICKEL INDUSTRIES LTD,0.82,3560387584,-4.65,-6.29,-1.8,1.59,1D <= -4.0%,,What Nickel Industries (ASX:NIC)'s Strong Half-Year Profit Rebound Means For Shareholders - webull.com | Nickel Industries (ASX:NIC) Shares Look Cheap As HPAL Progress Meets Funding Risk - simplywall.st | Nickel Industries (ASX:NIC) Remains in Focus After Quarterly Update Highlights Production Milestones - Kalkine | Nickel Industries (ASX:NIC) swaps Sampala equity for CNE HPAL at 5.4x uplift - Stocks Down Under | Nickel Industries Ltd Share Price and Fundamentals (NIC) - thebull.com.au,,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
16,near_miss,FMG.AX,FORTESCUE LTD,16.61,51141611520,-4.6,-2.83,-6.25,1.7,1D <= -4.0%,,Fortescue shares just hit a 52-week low. Is it time to buy? - The Motley Fool Australia | Fortescue (ASX:FMG): Record Iron-Ore Shipments Meet Price Pressure and Green Transition Challenges - Kalkine | Why Could Fortescue (ASX:FMG) Enter the Iron Ore Stocks Spotlight? - Kalkine Media | Are Fortescue Ltd (ASX:FMG) shares good value in 2026? - Rask Media | Why Is Fortescue (ASX:FMG) Shaping Iron Ore Stocks? - Kalkine Media,,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
17,near_miss,RSG.AX,RESOLUTE MINING LTD,1.38,2960323328,-4.48,-1.77,39.9,0.95,1D <= -4.0%,,"Why Is Resolute Mining (ASX:RSG) Share Price Up Today? - Kalkine | Why Resolute Mining (ASX:RSG) Is Up 7.1% After Strong H1 Profit And Reaffirmed Guidance - simplywall.st | Can Resolute Mining (ASX:RSG) Stay on the Smallcap Stocks Radar? - Kalkine Media | Why Is Resolute Mining (ASX:RSG) in Focus Among Midcap Stocks? - Kalkine Media | Resolute Mining Shares at 2026 Low, As Pullback Reaches 30%: What Is Happening at RSG? - thebull.com.au",,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
18,near_miss,PLS.AX,PLS GROUP LTD,5.19,16730596352,-4.42,-0.99,20.97,1.09,1D <= -4.0%,,"PLS Group (ASX:PLS) Returns to Profit With Record $1.93 Billion Revenue and Reinstated Dividend - Kalkine | A deep dive into PLS shares - Rask Media | Buy, hold, sell: Rio Tinto, PLS Group, BHP shares - The Motley Fool Australia | PLS shares: your next growth investment? - Rask Media | PLS Group Limited Seeks ASX Quotation for 1,157,356 Shares Issued Under Employee Award Plan - Kalkine Media",,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
19,near_miss,MIN.AX,MINERAL RESOURCES LTD,62.14,12337104896,-4.4,-7.1,2.32,1.15,1D <= -4.0%,,"Mineral Resources Shares Up 13% in a Month: Worth Considering? - Kalkine | Buy, hold, sell: Mineral Resources, Ansell, CBA shares - The Motley Fool Australia | Why Could Mineral Resources (ASX:MIN) Matter for Lithium Stocks? - Kalkine Media | Evening Wrap: ASX 200 slumps on mining and gold routs as investors switch to WTC, XRO and tech stocks - Market Index | Mineral Resources shares rise as FY26 volumes hit records across key divisions - Proactive financial news",,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
20,near_miss,WEB.AX,WEB TRAVEL GROUP LTD,3.71,1342972288,-4.38,0.82,7.23,0.88,1D <= -4.0%,,This buy-rated ASX travel stock could deliver a 30% return: Broker - The Motley Fool Australia | WEB Travel Group Limited (ASX:WEB) Share Price Declines as Investors Monitor Travel Demand and WebBeds Performance - Kalkine | Web Travel Group (ASX:WEB) share price in focus on 24% growth in FY26 - Rask Media | Web Travel Group tumbled 30% last week. Here's why brokers are backing up the truck - Market Index | Web Travel Group Shares Bounce Off Lows as Analysts Provide Support - thebull.com.au,,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
21,near_miss,DVP.AX,DEVELOP GLOBAL LTD,5.26,1735723648,-4.36,-4.19,1.35,0.9,1D <= -4.0%,,"Develop Global (ASX:DVP) Powers Higher as Mining Stocks Lead the Market - Kalkine | Can Develop Global (ASX:DVP) Extend Woodlawn’s Growth Story? - Kalkine Media | 5 things to watch on the ASX 200 on Wednesday 29 July 2026 - The Motley Fool Australia | Insights: Develop Global Limited (ASX:DVP) - smallcaps.com.au | ASX Rebalance Looms: Who Could Be Added To The 100, or 200 Index? - thebull.com.au",,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
22,near_miss,PDN.AX,PALADIN ENERGY LTD,11.11,4992372224,-4.31,-11.61,11.21,1.1,1D <= -4.0%; 5D <= -8.0%,,"3 ASX 200 stocks, including Paladin Energy, storming higher on earnings results this week - The Motley Fool Australia | Is Paladin Energy (ASX:PDN) Changing the Energy Stocks Debate? - Kalkine Media | What’s Driving the Steep Fall in Paladin Energy (ASX:PDN)? - Kalkine | Why are Paladin Energy Shares Leading the ASX 200 Today? - thebull.com.au | Paladin Energy (ASX:PDN) Restores Stable Operations, Is The Undervalued Case Too Good To Ignore? - Yahoo Finance",,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
23,near_miss,MP1.AX,MEGAPORT LTD,16.4,3974843648,-4.15,-6.34,-16.03,0.72,1D <= -4.0%; 20D <= -15.0%,,Megaport (ASX:MP1) Shares Face Funding Questions As Losses Deepen - simplywall.st | AI driving growth for ASX tech share - Morningstar Australia | What Could Make Megaport (ASX:MP1) a Key AI Stock as Demand Expands? - Kalkine Media | What Is Driving Investor Sentiment Around Megaport (ASX:MP1)? - Kalkine | Megaport (ASX:MP1) share price soars 33% on big contract wins - Rask Media,,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
24,near_miss,JDO.AX,JUDO CAPITAL HOLDINGS LTD,1.04,1167247744,-4.15,0.48,0.48,0.58,1D <= -4.0%,downgrade,"Judo Capital Holdings (ASX:JDO) Is on the Move: What's Behind Today's Share Price Action? - Kalkine | Why Is Specialist business lender Judo Capital (ASX:JDO) in Focus? - Kalkine Media | Fears of deteriorating loan quality sends bank share plummeting - Morningstar Australia | CITIWARRANTS 1.3381 JDO MINI SHORT (ASX:JDOKOQ) - Shares, Dividends & News - intelligentinvestor.com.au | Judo shares crash 46% on shock downgrade, now at its cheapest valuation ever - Market Index",,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
25,near_miss,SRL.AX,SUNRISE ENERGY METALS LTD,16.01,2713101568,-4.13,-7.3,1.01,0.57,1D <= -4.0%,,"Is Sunrise Energy Metals (ASX:SRL) Quietly Recasting Its Edge In Critical Materials Integration? - webull.com | Have Sunrise Energy Metals Insiders Been Selling Stock? - simplywall.st | Sunrise Energy Metals (ASX:SRL) Slides as Critical-Minerals Stocks Come Under Pressure - Kalkine | Sunrise Energy Metals Seeks ASX Quotation for 10,507 New Shares After Option Exercise - Kalkine Media | Sunrise Energy Metals Shares Add 3,000% in 12 Months: What Is Behind The Move? - thebull.com.au",,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
26,near_miss,ASB.AX,AUSTAL LTD,4.19,1768491008,-4.12,-0.48,10.26,0.75,1D <= -4.0%,,"Austal (ASX:ASB): Could This Be the Next ASX Stock to Surprise Investors? - Kalkine | Buy, hold, sell: Boss Energy, Austal, Liontown shares - The Motley Fool Australia | Is Austal (ASX:ASB) Quietly Recasting Its Defense Moat Through Digital Twin Partnerships? - simplywall.st | Austal Shares Hit New Low As Tides Shift: The Latest - thebull.com.au | Austal (ASX:ASB) Just Won Another A$136m Defence Deal, the Real Story Investors Are Missing - Stocks Down Under",,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
27,near_miss,QAL.AX,QUALITAS LTD,2.75,853031360,-3.74,-10.16,-12.65,1.76,5D <= -8.0%,,Qualitas (ASX:QAL) Trades Lower While Long-Term Business Fundamentals Stay in Focus - Kalkine | Need To Know: The Consensus Just Updated Its Qualitas Limited (ASX:QAL) Estimates For 2026 - simplywall.st | QAL Forecast — Price Target — Prediction for 2027 - TradingView | Qualitas (ASX:QAL): Why Is an ASX 300 Entry in Focus? - Kalkine Media | QAL:ASX Announcement - Qualitas Business Update - 31 Aug 2026 - Market Index,,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
28,near_miss,NXL.AX,NUIX LTD,1.92,659599232,-3.52,-9.86,33.8,1.32,5D <= -8.0%,,Nuix (ASX:NXL) Shares Tick Up: What the Market Is Monitoring Around the Software Company - Kalkine | Guess which ASX tech stock is rocketing 22% on big news - The Motley Fool Australia | Insights: Nuix Ltd (ASX:NXL) - smallcaps.com.au | Nuix Limited (ASX:NXL) May Have Run Too Fast Too Soon With Recent 33% Price Plummet - simplywall.st | Nuix Limited (ASX:NXL) Share Price in Focus After a Sharp Single-Session Move - Kalkine,,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
29,near_miss,SXE.AX,SOUTHERN CROSS ELECTRICAL,4.06,1252467456,-3.1,-8.97,-11.55,0.76,5D <= -8.0%,,"Southern Cross Electrical Engineering (ASX:SXE) Reported Weaker Earnings, Is The Stock Fairly Valued? - simplywall.st | Why Southern Cross Electrical Engineering (ASX:SXE) Is Testing Market Confidence - Kalkine | ASX growth stocks: Analysts just hiked this stock's target price by 46% - Market Index | Southern Cross Electrical (ASX:SXE) Raises $150m and Upgrades Guidance as Data Centre Demand Surges - Stocks Down Under | Bell Potter says this ASX stock could rise 35% - The Motley Fool Australia",,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
30,near_miss,GNP.AX,GENUSPLUS GROUP LTD,8.15,1657038464,-2.63,-8.63,-11.8,0.66,5D <= -8.0%,,GenusPlus Group (ASX:GNP) Fully Franked Dividend — Can the Energy-Grid Boom Keep Powering Shareholder Returns? - Kalkine | Up 200%! Is it too late to buy this ASX stock? Bell Potter says it isn't - The Motley Fool Australia | GenusPlus Group (ASX:GNP) Shares Drop 5% Despite Record Revenue — Why Is the Stock Under Pressure? - Kalkine | Insights: GenusPlus Group Ltd (ASX:GNP) - smallcaps.com.au | GenusPlus Group Ltd(ASX: GNP) dropped from S&P/ASX Emerging Companies Index - marketscreener.com,,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
31,near_miss,CU6.AX,CLARITY PHARMACEUTICALS LTD,2.27,846894336,-2.58,-9.2,-15.93,0.86,5D <= -8.0%; 20D <= -15.0%,,"Clarity Pharmaceuticals Ltd (ASX:CU6) Stock Slides: What Investors Should Know - Kalkine | Clarity Pharmaceuticals Shares Close At 52-Week Low: The Latest - thebull.com.au | Trade Alert: CEO, MD & Executive Director Of Clarity Pharmaceuticals Michelle Parker Has Sold Stock - simplywall.st | Clarity Pharmaceuticals (ASX:CU6) Advances SECuRE Trial With Additional Complete Responses - Kalkine | Clarity Pharmaceuticals (ASX:CU6) Rallies Nearly 15%: Is This ASX Healthcare Stock Worth Watching? - Kalkine",,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
32,near_miss,MAQ.AX,MACQUARIE TECHNOLOGY GROUP L,54.67,1409049856,-2.48,-9.71,-15.89,1.34,5D <= -8.0%; 20D <= -15.0%,,How Did Macquarie Technology (ASX:MAQ) Enter the AI Stocks Conversation? - Kalkine Media | Macquarie Technology Group (ASX:MAQ): Why Is Stock On Investor Radar? - Kalkine | Why Macquarie Technology is one of the most interesting AI infrastructure plays on the ASX - The Motley Fool Australia | MAQ Stock Price and Chart — ASX:MAQ - TradingView | Why Macquarie Technology Group (ASX:MAQ) Is Down 7.2% After Reporting Higher Sales But Lower Earnings - simplywall.st,,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
33,near_miss,BGL.AX,BELLEVUE GOLD LTD,1.59,2364031232,-2.46,-8.12,12.81,0.92,5D <= -8.0%,,Bellevue Gold (ASX:BGL) Stock Advances 7% on Development Milestone Execution - Kalkine | Bellevue Gold (ASX:BGL) Enters Production As Fair Value Questions Come Into Focus - simplywall.st | Bellevue Gold (ASX:BGL): Why This Gold Stock Is Drawing Fresh Attention - Kalkine Media | Guess which ASX gold stock is edging higher today on drilling news - The Motley Fool Australia | Beyond the Daily Move: What Investors Are Watching Around Bellevue Gold (ASX:BGL)? - Kalkine,,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
34,near_miss,ABB.AX,AUSSIE BROADBAND LTD,4.19,1321630976,-2.1,-8.91,-17.19,0.56,5D <= -8.0%; 20D <= -15.0%,,"Aussie Broadband Ltd: Why This ASX Stock Could Be One to Watch in September - Kalkine | Aussie Broadband Limited (ASX:ABB) Passed Our Checks, And It's About To Pay A AU$0.036 Dividend - simplywall.st | Aussie Broadband (ASX:ABB): Head & Shoulders Breakdown Signals Further Downside Risk - Kalkine | Aussie Broadband Limited announces an Equity Buyback for 29,257,604 shares, representing 9.28% for AUD 115 million. - marketscreener.com | Aussie Broadband Shares Give Back Half 2026 Gains To Start Week: What Happened? - thebull.com.au",,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
35,near_miss,NWL.AX,NETWEALTH GROUP LTD,20.31,4984007168,-1.98,-8.8,-16.69,0.78,5D <= -8.0%; 20D <= -15.0%,,"Netwealth Group (ASX:NWL) Falls — Is Its Premium Valuation Coming Under Pressure? - Kalkine | Netwealth Shares Bounce 22%, As Momentum Shifts: The Latest - thebull.com.au | NWL Forecast — Price Target — Prediction for 2027 - TradingView | 2 ASX 200 stocks that could rise 31% and 121% - The Motley Fool Australia | With 48% ownership, Netwealth Group Limited (ASX:NWL) insiders have a lot riding on the company's future - simplywall.st",,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
36,near_miss,SGH.AX,SGH LTD,38.64,15726409728,-1.93,-3.45,-16.58,0.95,20D <= -15.0%,,"SGH Limited Shares: Can Contract Wins and Execution Drive the Next Breakout? - Kalkine | Why DroneShield, Life360 and SGH shares are crashing lower this week - The Motley Fool Australia | SGH Ltd (ASX:SGH) Edges Higher — What Investors Should Know - Kalkine | Is Now An Opportune Moment To Examine SGH Limited (ASX:SGH)? - Yahoo Finance | Why Investors Shouldn't Be Surprised By SGH Limited's (ASX:SGH) P/E - simplywall.st",,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
37,near_miss,ARB.AX,ARB CORP LTD,18.9,1581175424,-1.82,-8.07,-6.53,0.68,5D <= -8.0%,,"Why Are Investors Watching ARB Corporation (ASX:ARB) Shares Closely? - Kalkine | AU Morning Wrap | ASX 200 edges higher as energy stocks rally - Moomoo | ARB Corp Shares At Lowest Level In Years as Selling Continues - thebull.com.au | Brokers agree, ARB Corporation shares are looking seriously cheap - The Motley Fool Australia | What Does ARB Corporation Limited's (ASX:ARB) Share Price Indicate? - simplywall.st",,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
