ticker,company,observed_on
MI6.AX,MINERALS 260 LTD,2026-09-17
BGA.AX,BEGA CHEESE LTD,2026-09-17
EVT.AX,EVT LTD,2026-09-17
DTL.AX,DATA#3 LTD,2026-09-17
INA.AX,INGENIA COMMUNITIES GROUP,2026-09-17
MFG.AX,MAGELLAN FINANCIAL GROUP LTD,2026-09-17
HLI.AX,HELIA GROUP LTD,2026-09-17
MLX.AX,METALS X LTD,2026-09-17
GNC.AX,GRAINCORP LTD-A,2026-09-17
NIC.AX,NICKEL INDUSTRIES LTD,2026-09-17
MSB.AX,MESOBLAST LTD,2026-09-17
SIQ.AX,SMARTGROUP CORP LTD,2026-09-17
ASB.AX,AUSTAL LTD,2026-09-17
EOS.AX,ELECTRO OPTIC SYSTEMS HOLDIN,2026-09-17
BPT.AX,BEACH ENERGY LTD,2026-09-17
PYC.AX,PYC THERAPEUTICS LTD,2026-09-17
WEB.AX,WEB TRAVEL GROUP LTD,2026-09-17
SLC.AX,SUPERLOOP LTD,2026-09-17
ARB.AX,ARB CORP LTD,2026-09-17
KCN.AX,KINGSGATE CONSOLIDATED LTD,2026-09-17
DRO.AX,DRONESHIELD LTD,2026-09-17
FFM.AX,FIREFLY METALS LTD,2026-09-17
ELD.AX,ELDERS LTD,2026-09-17
KAR.AX,KAROON ENERGY LTD,2026-09-17
SSM.AX,SERVICE STREAM LTD,2026-09-17
GYG.AX,GUZMAN Y GOMEZ LTD,2026-09-17
CIA.AX,CHAMPION IRON LTD,2026-09-17
DYL.AX,DEEP YELLOW LTD,2026-09-17
DVP.AX,DEVELOP GLOBAL LTD,2026-09-17
NUF.AX,NUFARM LTD,2026-09-17
GDG.AX,GENERATION DEVELOPMENT GROUP,2026-09-17
IRE.AX,IRESS LTD,2026-09-17
MAH.AX,MACMAHON HOLDINGS LTD,2026-09-17
PMV.AX,PREMIER INVESTMENTS LTD,2026-09-17
DMP.AX,DOMINO'S PIZZA ENTERPRISES L,2026-09-17
NCK.AX,NICK SCALI LTD,2026-09-17
BVS.AX,BRAVURA SOLUTIONS LTD,2026-09-17
ELV.AX,ELEVRA LITHIUM LTD,2026-09-17
PNR.AX,PANTORO GOLD LTD,2026-09-17
CNI.AX,CENTURIA CAPITAL GROUP,2026-09-17
NEC.AX,NINE ENTERTAINMENT CO HOLDIN,2026-09-17
MMS.AX,MCMILLAN SHAKESPEARE LTD,2026-09-17
ABB.AX,AUSSIE BROADBAND LTD,2026-09-17
JDO.AX,JUDO CAPITAL HOLDINGS LTD,2026-09-17
SLX.AX,SILEX SYSTEMS LTD,2026-09-17
DGT.AX,DIGICO INFRASTRUCTURE REIT,2026-09-17
PXA.AX,PEXA GROUP LTD,2026-09-17
MGH.AX,MAAS GROUP HOLDINGS LTD,2026-09-17
SMR.AX,STANMORE RESOURCES LTD,2026-09-17
IDX.AX,INTEGRAL DIAGNOSTICS LTD,2026-09-17
IPX.AX,IPERIONX LTD,2026-09-17
CAT.AX,CATAPULT SPORTS LTD,2026-09-17
VUL.AX,VULCAN ENERGY RESOURCES LTD,2026-09-17
MYS.AX,MYSTATE LTD,2026-09-17
CQE.AX,CHARTER HALL SOCIAL INFRASTR,2026-09-17
TEA.AX,TASMEA LTD,2026-09-17
L1G.AX,L1 GROUP LTD,2026-09-17
RFF.AX,RURAL FUNDS TRUST,2026-09-17
DXI.AX,DEXUS INDUSTRIA REIT,2026-09-17
ING.AX,INGHAMS GROUP LTD,2026-09-17
PWH.AX,PWR HOLDINGS LTD,2026-09-17
APZ.AX,ASPEN GROUP,2026-09-17
CKF.AX,COLLINS FOODS LTD,2026-09-17
SXE.AX,SOUTHERN CROSS ELECTRICAL,2026-09-17
NAN.AX,NANOSONICS LTD,2026-09-17
KLS.AX,KELSIAN GROUP LTD,2026-09-17
SNL.AX,SUPPLY NETWORK LTD,2026-09-17
SDR.AX,SITEMINDER LTD,2026-09-17
IPH.AX,IPH LTD,2026-09-17
OML.AX,OOH!MEDIA LTD,2026-09-17
SBM.AX,ST BARBARA LTD,2026-09-17
WBT.AX,WEEBIT NANO LTD,2026-09-17
BMN.AX,BANNERMAN ENERGY LTD,2026-09-17
ELS.AX,ELSIGHT LTD,2026-09-17
ARU.AX,ARAFURA RARE EARTHS LTD,2026-09-17
REG.AX,REGIS HEALTHCARE LTD,2026-09-17
SGLLV.AX,RICEGROWERS LIMITED,2026-09-17
GNP.AX,GENUSPLUS GROUP LTD,2026-09-17
CU6.AX,CLARITY PHARMACEUTICALS LTD,2026-09-17
TUA.AX,TUAS LTD,2026-09-17
CCP.AX,CREDIT CORP GROUP LTD,2026-09-17
GLF.AX,GEMLIFE COMMUNITIES GROUP,2026-09-17
AOV.AX,AMOTIV LTD,2026-09-17
FPR.AX,FLEETPARTNERS GROUP LTD,2026-09-17
RIC.AX,RIDLEY CORP LTD,2026-09-17
ARF.AX,ARENA REIT,2026-09-17
HMC.AX,HMC CAPITAL LTD,2026-09-17
MAQ.AX,MACQUARIE TECHNOLOGY GROUP L,2026-09-17
SHV.AX,SELECT HARVESTS LTD,2026-09-17
BAP.AX,BAPCOR LTD,2026-09-17
VSL.AX,VULCAN STEEL LTD,2026-09-17
COF.AX,CENTURIA OFFICE REIT,2026-09-17
OBL.AX,OMNI BRIDGEWAY LTD,2026-09-17
GOZ.AX,GROWTHPOINT PROPERTIES AUSTR,2026-09-17
IPG.AX,IPD GROUP LTD,2026-09-17
MAF.AX,MA FINANCIAL GROUP LTD,2026-09-17
CWP.AX,CEDAR WOODS PROPERTIES LTD,2026-09-17
A4N.AX,ALPHA HPA LTD,2026-09-17
HSN.AX,HANSEN TECHNOLOGIES LTD,2026-09-17
ACL.AX,AUSTRALIAN CLINICAL LABS LTD,2026-09-17
NXL.AX,NUIX LTD,2026-09-17
GWA.AX,GWA GROUP LTD,2026-09-17
VGN.AX,VIRGIN AUSTRALIA HOLDINGS LT,2026-09-17
BRE.AX,BRAZILIAN RARE EARTHS LTD,2026-09-17
RPL.AX,REGAL PARTNERS LTD,2026-09-17
TPW.AX,TEMPLE & WEBSTER GROUP LTD,2026-09-17
RDX.AX,REDOX LTD/AUSTRALIA,2026-09-17
NGI.AX,NAVIGATOR GLOBAL INVESTMENTS,2026-09-17
BC8.AX,BLACK CAT SYNDICATE LTD,2026-09-17
SKG.AX,STORAGE KING GROUP,2026-09-17
IEL.AX,IDP EDUCATION LTD,2026-09-17
AEL.AX,AMPLITUDE ENERGY LTD,2026-09-17
BCI.AX,BCI MINERALS LTD,2026-09-17
CMW.AX,CROMWELL PROPERTY GROUP,2026-09-17
BOE.AX,BOSS ENERGY LTD,2026-09-17
CHN.AX,CHALICE MINING LTD,2026-09-17
LIC.AX,LIFESTYLE COMMUNITIES LTD,2026-09-17
EQT.AX,EQT HOLDINGS LTD,2026-09-17
WA1.AX,WA1 RESOURCES LTD,2026-09-17
PNV.AX,POLYNOVO LTD,2026-09-17
LYL.AX,LYCOPODIUM LTD,2026-09-17
C79.AX,CHRYSOS CORP LTD,2026-09-17
AEF.AX,AUSTRALIAN ETHICAL INVT LTD,2026-09-17
OCL.AX,OBJECTIVE CORPORATION LTD,2026-09-17
JIN.AX,JUMBO INTERACTIVE LTD,2026-09-17
BLX.AX,BEACON LIGHTING GROUP LTD,2026-09-17
HLS.AX,HEALIUS LTD,2026-09-17
CUV.AX,CLINUVEL PHARMACEUTICALS LTD,2026-09-17
EHL.AX,EMECO HOLDINGS LTD,2026-09-17
ABG.AX,ABACUS GROUP,2026-09-17
MYR.AX,MYER HOLDINGS LTD,2026-09-17
AX1.AX,ACCENT GROUP LTD,2026-09-17
PPM.AX,PEPPER MONEY LTD/AU,2026-09-17
GTK.AX,GENTRACK GROUP LTD,2026-09-17
AFG.AX,AUSTRALIAN FINANCE GROUP LTD,2026-09-17
FML.AX,FOCUS MINERALS LTD,2026-09-17
JMS.AX,JUPITER MINES LTD,2026-09-17
ADH.AX,ADAIRS LTD,2026-09-17
MAD.AX,MADER GROUP LTD,2026-09-17
MGX.AX,MGX RESOURCES LTD,2026-09-17
AAC.AX,AUSTRALIAN AGRICULTURAL CO,2026-09-17
TVN.AX,TIVAN LTD,2026-09-17
INR.AX,IONEER LTD,2026-09-17
DTR.AX,DATELINE RESOURCES LTD,2026-09-17
TYR.AX,TYRO PAYMENTS LTD,2026-09-17
HCW.AX,HEALTHCO REIT,2026-09-17
QAL.AX,QUALITAS LTD,2026-09-17
PFP.AX,PROPEL FUNERAL PARTNERS LTD,2026-09-17
