rank,signal_type,ticker,company,last_price,market_cap_aud_approx,one_day_pct,five_day_pct,twenty_day_pct,volume_spike_vs_20d,trigger,avoid_flags,news_headlines,openai_score,openai_classification,openai_rationale,manual_review_notes,error
1,near_miss,DVP.AX,DEVELOP GLOBAL LTD,4.73,1560831232.0,-6.71,-9.73,-14.62,0.71,1D <= -4.0%; 5D <= -8.0%,,"Develop Global (ASX:DVP) Remains on Investor Radar Amid Mining Services and Project Activity - Kalkine | Insights: Develop Global Limited (ASX:DVP) - smallcaps.com.au | Why Deep Yellow, Develop Global, Resolute Mining, and Santos shares are pushing higher today - The Motley Fool Australia | Develop Global (ASX:DVP) Powers Higher as Mining Stocks Lead the Market - Kalkine | DVP Forecast — Price Target — Prediction for 2027 - TradingView",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
12,near_miss,HDN.AX,HOMECO DAILY NEEDS REIT,1.15,2413140480.0,-4.15,-10.47,-9.06,4.11,1D <= -4.0%; 5D <= -8.0%,,HomeCo Daily Needs REIT (ASX:HDN) Shares Trail NTA As Interest Costs Rise - simplywall.st | HomeCo Daily Needs REIT (ASX:HDN) Share Price and Business Update - Kalkine | HomeCo Daily Needs REIT (ASX:HDN) Maintains Distribution as Property Portfolio Supports FY27 Outlook - Kalkine | Why Does HomeCo Daily Needs REIT (ASX:HDN) Shape Discipline? - Kalkine Media | HomeCo Daily Needs REIT announces Q3 2026 distribution and DRP details - The Motley Fool Australia,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
13,near_miss,TCL.AX,TRANSURBAN GROUP,13.96,,-4.12,-3.79,-4.97,1.48,1D <= -4.0%,,Transurban Group (ASX:TCL) Shares Trail Cash Growth As Debt Costs Climb - simplywall.st | Transurban Group (ASX:TCL) Rises 0.85% to AUD 14.745 - Kalkine | Why Is Transurban Group (ASX:TCL) Reframing Distribution Cover? - Kalkine Media | How Investors Are Reacting To Transurban Group (ASX:TCL) June Traffic Growth And Special Briefing Call - simplywall.st | Why Transurban (ASX:TCL) Could Be an Infra & Real Estate Stock to Watch Now? - Kalkine Media,,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent. Market cap temporarily unavailable; retained because ticker is in the broad A300 universe.",
14,near_miss,SBM.AX,ST BARBARA LTD,0.58,707730560.0,-4.1,0.0,42.68,0.65,1D <= -4.0%,,"St Barbara Limited (ASX: SBM) - thebull.com.au | While institutions invested in St Barbara Limited (ASX:SBM) benefited from last week's 23% gain, retail investors stood to gain the most - simplywall.st | Why ST Barbara (ASX:SBM) Stock Is Dropping Today: Gold Prices and Restructuring Explained - Kalkine | Price to earnings forward of St. Barbara Ltd. – ASX:SBM - TradingView | Why the St Barbara share price is halted today - The Motley Fool Australia",,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
15,near_miss,DRO.AX,DRONESHIELD LTD,1.96,1811217920.0,-2.49,-10.09,-8.41,1.07,5D <= -8.0%,,"DroneShield (ASX:DRO): Counter-Drone Technology Growth Meets Valuation Debate - Kalkine | DroneShield shares crash 11% today: Should I buy before the end of July? - The Motley Fool Australia | Why Is DroneShield (ASX:DRO) Among AI Stocks Drawing Fresh Attention? - Kalkine Media | Droneshield (ASX:DRO) Slides Despite Fresh Contract Win - Kalkine | Down 41%: Can DroneShield shares bounce back, or is the rally finally over? - The Motley Fool Australia",,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
16,near_miss,GDG.AX,GENERATION DEVELOPMENT GROUP,3.79,1515687296.0,-1.3,-8.01,6.46,0.51,5D <= -8.0%,,"Generation Development Group (ASX:GDG) Shares Fall as Investors Assess Wealth Management Trends - Kalkine | Generation Development Group posts 36% lift in FUM and record inflows for FY26 - The Motley Fool Australia | Generation Development Group (ASX:GDG) Reports Record AUD 46.4bn FUM Ahead of FY26 Results - Kalkine | Generation Development Group (ASX:GDG) Shares Could Be 37.4% Undervalued After Record FY2025 Results - simplywall.st | Generation Development Group (ASX:GDG) $34.8bn FUM, 57% sales growth and Division 296 now law - Stocks Down Under",,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
17,near_miss,CQE.AX,CHARTER HALL SOCIAL INFRASTR,2.45,909216512.0,-0.81,-10.58,-6.49,1.15,5D <= -8.0%,,Charter Hall Social Infrastructure REIT (ASX:CQE) Share Price in Focus as Real Estate Stocks Slip - Kalkine | Charter Hall Social Infrastructure REIT (ASX:CQE) Shares Trail Asset Backing Despite Solid Income - simplywall.st | Charter Hall Social Infrastructure REIT (ASX:CQE) Falls as Rate Pressure Persists - Kalkine | Can Charter Hall Social Infrastructure REIT (ASX:CQE) Close The Gap Between Income Strength And Asset Value? - Kalkine Media | CQE Forecast — Price Target — Prediction for 2027 - TradingView,,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
18,near_miss,MYR.AX,MYER HOLDINGS LTD,0.22,,0.0,-2.27,-18.87,0.57,20D <= -15.0%,,ASX retail share remains cheap despite weaker earnings - Morningstar Australia | Myer Holdings (ASX:MYR) Trades Lower While Remaining Well Below Year-Ago Levels - Kalkine | Myer (ASX:MYR) share price in focus as profit jumps 33% in HY26 result - Rask Media | Private companies own 31% of Myer Holdings Limited (ASX:MYR) shares but individual investors control 41% of the company - Yahoo Finance | Guess which ASX 300 stock is jumping 17% on strong results - The Motley Fool Australia,,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent. Market cap temporarily unavailable; retained because ticker is in the broad A300 universe.",
19,near_miss,JDO.AX,JUDO CAPITAL HOLDINGS LTD,0.93,1038177152.0,0.54,-9.31,-1.6,1.14,5D <= -8.0%,downgrade,"Why Did Judo Capital (ASX:JDO) Stock Suddenly Drop 40% Today? - Kalkine | Fears of deteriorating loan quality sends bank share plummeting - Morningstar Australia | Judo shares crash 46% on shock downgrade, now at its cheapest valuation ever - Market Index | Which ASX 200 bank stock is crashing 46% on profit guidance downgrade? - The Motley Fool Australia | Judo Capital (ASX:JDO) cuts FY26 profit guidance after three loans go bad - Stocks Down Under",,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
20,near_miss,LOV.AX,LOVISA HOLDINGS LTD,24.71,2736348160.0,0.61,-8.82,5.82,0.65,5D <= -8.0%,,"Lovisa Holdings Ltd (ASX:LOV) Stock: Market Dynamics & Long-Term Value Assessment - Kalkine | Lovisa Holdings Ltd. Revenue Breakdown – ASX:LOV - TradingView | 3 ASX Stocks That May Be Undervalued By Up To 49.7% - simplywall.st | Lovisa Holdings Ltd (ASX:LOV) Momentum Builds on Sector Strength - Kalkine | How Are Lovisa (ASX:LOV), Nick Scali (ASX:NCK), CAR Group (ASX:CAR) and REA Group (ASX:REA) Responding to Sector Change? - Kalkine Media",,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
21,near_miss,SGH.AX,SGH LTD,41.3,16809024512.0,0.68,-9.96,-5.71,2.48,5D <= -8.0%,,"SGH Ltd (ASX:SGH) Retreats: What's Behind the Pullback? - Kalkine | Why DroneShield, Life360 and SGH shares are crashing lower this week - The Motley Fool Australia | SGH Limited Buys Back 259,194 Shares on 13 August in On-Market Programme - Kalkine | SGH Ltd posts strong FY26 profit despite revenue dip - The Motley Fool Australia | ASX 100: Why Is SGH’s FY27 Outlook Drawing Fresh Scrutiny? - Kalkine Media",,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
22,near_miss,AOV.AX,AMOTIV LTD,6.72,899471680.0,1.2,-8.32,2.91,0.61,5D <= -8.0%,impairment,"Earnings Miss: Amotiv Limited Missed EPS By 20% And Analysts Are Revising Their Forecasts - simplywall.st | Amotiv Ltd FY26 earnings steady, dividend lifted - The Motley Fool Australia | Why Are Amotiv (ASX:AOV) Shares Still Lower Over the Past Year? - Kalkine | Amotiv (ASX:AOV): Can 6% Yield Survive Impairment Headwinds and a Challenging Auto Market? - Kalkine | Favourable Signals For Amotiv: Numerous Insiders Acquired Stock - simplywall.st",,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
